language,model_level,prior_regime,threshold_mode,n_participants,n_verbs,n_items_per_cell,beta_semantics,beta_active_interaction,beta_pseudo_interaction,has_pseudo_passive,iter,warmup,chains,seed,include_gender,beta_gender
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300000,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300001,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300002,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300003,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300004,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300005,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300006,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300007,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300008,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300009,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300010,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300011,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300012,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300013,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300014,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300015,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300016,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300017,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300018,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300019,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300020,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300021,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300022,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300023,TRUE,0.3
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,300024,TRUE,0.3
