language,model_level,prior_regime,threshold_mode,n_participants,n_verbs,n_items_per_cell,beta_semantics,beta_active_interaction,beta_pseudo_interaction,has_pseudo_passive,iter,warmup,chains,seed,include_gender,beta_gender
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900000,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900001,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900002,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900003,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900004,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900005,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900006,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900007,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900008,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900009,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900010,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900011,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900012,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900013,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900014,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900015,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900016,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900017,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900018,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900019,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900020,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900021,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900022,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900023,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900024,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900025,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900026,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900027,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900028,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900029,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900030,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900031,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900032,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900033,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900034,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900035,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900036,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900037,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900038,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900039,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900040,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900041,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900042,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900043,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900044,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900045,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900046,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900047,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900048,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900049,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900050,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900051,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900052,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900053,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900054,FALSE,0
AllLanguages,L4_cross_uncorrelated,proposal,broad,40,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,900055,FALSE,0
