language,model_level,prior_regime,threshold_mode,n_participants,n_verbs,n_items_per_cell,beta_semantics,beta_active_interaction,beta_pseudo_interaction,has_pseudo_passive,iter,warmup,chains,seed,include_gender,beta_gender
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400000,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400001,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400002,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400003,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400004,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400005,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400006,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400007,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400008,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400009,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400010,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400011,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400012,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400013,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400014,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400015,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400016,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400017,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400018,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400019,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400020,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400021,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400022,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400023,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400024,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400025,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400026,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400027,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400028,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400029,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400030,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400031,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400032,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400033,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400034,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400035,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400036,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400037,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400038,FALSE,0
English,L5_correlated_maximal,proposal,broad,70,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,400039,FALSE,0
