# config/arc_environment_recorded.csv
# Captured on ARC by:
#   module load R/4.4.2-gfbf-2024a
#   export R_LIBS_USER=$DATA/PROJECT_GROUP/R/library_4.4
#   Rscript scripts/record_environment.R --out config/arc_environment_recorded.csv
# Regenerate the same way after any change to the ARC library.
# Environment record written by scripts/record_environment.R.
# A RECORD of what was present, not a specification of what is required;
# the requirements live in R/12_environment.R. See docs/reproducibility.md.
#
#   recorded_at 2026-07-30T15:11:49+0100
#   git_sha     
#   R           4.4.2 (x86_64-pc-linux-gnu)
#   os          Linux 5.14.0-687.29.1.el9_8.x86_64
#   compiler    gcc (GCC) 13.3.0
#   cmdstan     cmdstan-2.39.0
#   r_module    R/4.4.2-gfbf-2024a
#   slurm_job   (not a SLURM job)
#
# Libraries searched, in the order R resolves them:
#   1. /data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4
#   2. /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#
# Shadowed copies (present in a later library, so NOT the version used):
#   cpp11 0.5.0  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   httr2 1.0.6  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   knitr 1.49  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   ps 1.8.1  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   rlang 1.1.4  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   systemfonts 1.1.0  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
#   yaml 2.3.10  in /apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library
"Package","Version","Library"
"abind","1.4-8","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"askpass","1.2.1","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"assertr","3.0.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"backports","1.5.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"base","4.4.2","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"base64enc","0.1-3","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"base64url","1.4","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"bayesplot","1.15.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"BH","1.90.0-1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"bib2df","1.1.1","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"bit","4.6.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"bit64","4.8.2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"brew","1.0-10","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"bridgesampling","1.1-2","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
"brio","1.1.5","/apps/system/easybuild/software/R/4.4.2-gfbf-2024a/lib64/R/library"
"brms","2.21.0","/data/PROJECT_GROUP/PROJECT_ID/PROJECT_GROUP/R/library_4.4"
