language,model_level,prior_regime,threshold_mode,n_participants,n_verbs,n_items_per_cell,beta_semantics,beta_active_interaction,beta_pseudo_interaction,has_pseudo_passive,iter,warmup,chains,seed,include_gender,beta_gender
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100000,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100001,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100002,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100003,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100004,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100005,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100006,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100007,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100008,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100009,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100010,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100011,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100012,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100013,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100014,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100015,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100016,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100017,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100018,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100019,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100020,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100021,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100022,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100023,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100024,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100025,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100026,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100027,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100028,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100029,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100030,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100031,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100032,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100033,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100034,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100035,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100036,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100037,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100038,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100039,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100040,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100041,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100042,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100043,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100044,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100045,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100046,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100047,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100048,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100049,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100050,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,3000,1000,4,100051,FALSE,0
