n_participants,mode,prior_source,model_level,prior_regime,threshold_mode,draw_index_english,draw_index_turkish,draw_index_norwegian,iter,warmup,chains,seed
50,assurance,pilot,L5_cross_maximal,primary,broad,2368,3374,7644,3000,1000,4,930000
50,assurance,pilot,L5_cross_maximal,primary,broad,7952,693,3210,3000,1000,4,930010
50,assurance,pilot,L5_cross_maximal,primary,broad,4368,5110,491,3000,1000,4,930020
50,assurance,pilot,L5_cross_maximal,primary,broad,5541,6798,5277,3000,1000,4,930030
50,assurance,pilot,L5_cross_maximal,primary,broad,7855,1688,939,3000,1000,4,930040
50,assurance,pilot,L5_cross_maximal,primary,broad,6882,2386,6380,3000,1000,4,930050
50,assurance,pilot,L5_cross_maximal,primary,broad,5959,6909,886,3000,1000,4,930060
50,assurance,pilot,L5_cross_maximal,primary,broad,3920,6440,5988,3000,1000,4,930070
50,assurance,pilot,L5_cross_maximal,primary,broad,4911,2255,3097,3000,1000,4,930080
50,assurance,pilot,L5_cross_maximal,primary,broad,6376,4382,1769,3000,1000,4,930090
50,assurance,pilot,L5_cross_maximal,primary,broad,7775,3251,712,3000,1000,4,930100
50,assurance,pilot,L5_cross_maximal,primary,broad,4711,6029,36,3000,1000,4,930110
50,assurance,pilot,L5_cross_maximal,primary,broad,88,6571,808,3000,1000,4,930120
50,assurance,pilot,L5_cross_maximal,primary,broad,4734,3964,2089,3000,1000,4,930130
50,assurance,pilot,L5_cross_maximal,primary,broad,614,2244,7710,3000,1000,4,930140
50,assurance,pilot,L5_cross_maximal,primary,broad,5753,4729,7483,3000,1000,4,930150
50,assurance,pilot,L5_cross_maximal,primary,broad,2838,7568,4857,3000,1000,4,930160
50,assurance,pilot,L5_cross_maximal,primary,broad,6,7006,6593,3000,1000,4,930170
50,assurance,pilot,L5_cross_maximal,primary,broad,2266,1179,5024,3000,1000,4,930180
50,assurance,pilot,L5_cross_maximal,primary,broad,7077,6440,1490,3000,1000,4,930190
50,assurance,pilot,L5_cross_maximal,primary,broad,6808,710,2231,3000,1000,4,930200
50,assurance,pilot,L5_cross_maximal,primary,broad,4097,2177,7838,3000,1000,4,930210
50,assurance,pilot,L5_cross_maximal,primary,broad,7136,1381,3774,3000,1000,4,930220
50,assurance,pilot,L5_cross_maximal,primary,broad,217,5309,2586,3000,1000,4,930230
50,assurance,pilot,L5_cross_maximal,primary,broad,6890,7541,3022,3000,1000,4,930240
50,assurance,pilot,L5_cross_maximal,primary,broad,6041,740,1198,3000,1000,4,930250
50,assurance,pilot,L5_cross_maximal,primary,broad,5196,2962,7108,3000,1000,4,930260
50,assurance,pilot,L5_cross_maximal,primary,broad,2404,7915,5705,3000,1000,4,930270
50,assurance,pilot,L5_cross_maximal,primary,broad,5185,4531,3441,3000,1000,4,930280
50,assurance,pilot,L5_cross_maximal,primary,broad,404,2352,3578,3000,1000,4,930290
70,assurance,pilot,L5_cross_maximal,primary,broad,5435,7977,7229,3000,1000,4,930300
70,assurance,pilot,L5_cross_maximal,primary,broad,6541,2368,1396,3000,1000,4,930310
70,assurance,pilot,L5_cross_maximal,primary,broad,5448,7760,5167,3000,1000,4,930320
70,assurance,pilot,L5_cross_maximal,primary,broad,5100,6633,1207,3000,1000,4,930330
70,assurance,pilot,L5_cross_maximal,primary,broad,7158,2712,322,3000,1000,4,930340
70,assurance,pilot,L5_cross_maximal,primary,broad,2803,4500,4403,3000,1000,4,930350
70,assurance,pilot,L5_cross_maximal,primary,broad,5715,5666,7941,3000,1000,4,930360
70,assurance,pilot,L5_cross_maximal,primary,broad,3362,3469,7559,3000,1000,4,930370
70,assurance,pilot,L5_cross_maximal,primary,broad,5254,7104,352,3000,1000,4,930380
70,assurance,pilot,L5_cross_maximal,primary,broad,6627,7995,4520,3000,1000,4,930390
70,assurance,pilot,L5_cross_maximal,primary,broad,7380,949,1982,3000,1000,4,930400
70,assurance,pilot,L5_cross_maximal,primary,broad,3944,4711,5782,3000,1000,4,930410
70,assurance,pilot,L5_cross_maximal,primary,broad,7314,1673,112,3000,1000,4,930420
70,assurance,pilot,L5_cross_maximal,primary,broad,7541,1177,7945,3000,1000,4,930430
70,assurance,pilot,L5_cross_maximal,primary,broad,2037,3118,598,3000,1000,4,930440
70,assurance,pilot,L5_cross_maximal,primary,broad,894,2410,2076,3000,1000,4,930450
70,assurance,pilot,L5_cross_maximal,primary,broad,6869,2679,2084,3000,1000,4,930460
70,assurance,pilot,L5_cross_maximal,primary,broad,940,6245,3296,3000,1000,4,930470
70,assurance,pilot,L5_cross_maximal,primary,broad,7776,3399,6091,3000,1000,4,930480
70,assurance,pilot,L5_cross_maximal,primary,broad,6866,3022,6354,3000,1000,4,930490
70,assurance,pilot,L5_cross_maximal,primary,broad,746,1908,7625,3000,1000,4,930500
70,assurance,pilot,L5_cross_maximal,primary,broad,5095,6701,1796,3000,1000,4,930510
70,assurance,pilot,L5_cross_maximal,primary,broad,3465,3885,1069,3000,1000,4,930520
70,assurance,pilot,L5_cross_maximal,primary,broad,7651,1487,2918,3000,1000,4,930530
70,assurance,pilot,L5_cross_maximal,primary,broad,2769,4548,3726,3000,1000,4,930540
70,assurance,pilot,L5_cross_maximal,primary,broad,1722,6770,6366,3000,1000,4,930550
70,assurance,pilot,L5_cross_maximal,primary,broad,352,2745,5519,3000,1000,4,930560
70,assurance,pilot,L5_cross_maximal,primary,broad,1139,4781,554,3000,1000,4,930570
70,assurance,pilot,L5_cross_maximal,primary,broad,59,553,7417,3000,1000,4,930580
70,assurance,pilot,L5_cross_maximal,primary,broad,7391,2847,2740,3000,1000,4,930590
100,assurance,pilot,L5_cross_maximal,primary,broad,1844,4021,5183,3000,1000,4,930600
100,assurance,pilot,L5_cross_maximal,primary,broad,1975,1856,7645,3000,1000,4,930610
100,assurance,pilot,L5_cross_maximal,primary,broad,5383,779,3947,3000,1000,4,930620
100,assurance,pilot,L5_cross_maximal,primary,broad,6951,3306,4779,3000,1000,4,930630
100,assurance,pilot,L5_cross_maximal,primary,broad,3997,2020,4162,3000,1000,4,930640
100,assurance,pilot,L5_cross_maximal,primary,broad,22,6185,392,3000,1000,4,930650
100,assurance,pilot,L5_cross_maximal,primary,broad,3016,1887,837,3000,1000,4,930660
100,assurance,pilot,L5_cross_maximal,primary,broad,2049,215,229,3000,1000,4,930670
100,assurance,pilot,L5_cross_maximal,primary,broad,3679,1984,2693,3000,1000,4,930680
100,assurance,pilot,L5_cross_maximal,primary,broad,85,2197,7313,3000,1000,4,930690
100,assurance,pilot,L5_cross_maximal,primary,broad,6536,2445,460,3000,1000,4,930700
100,assurance,pilot,L5_cross_maximal,primary,broad,3443,2783,127,3000,1000,4,930710
100,assurance,pilot,L5_cross_maximal,primary,broad,6735,32,7583,3000,1000,4,930720
100,assurance,pilot,L5_cross_maximal,primary,broad,3633,7832,6779,3000,1000,4,930730
100,assurance,pilot,L5_cross_maximal,primary,broad,290,4251,4797,3000,1000,4,930740
100,assurance,pilot,L5_cross_maximal,primary,broad,3626,4641,3095,3000,1000,4,930750
100,assurance,pilot,L5_cross_maximal,primary,broad,1044,4848,6541,3000,1000,4,930760
100,assurance,pilot,L5_cross_maximal,primary,broad,6823,7164,1808,3000,1000,4,930770
100,assurance,pilot,L5_cross_maximal,primary,broad,614,784,1045,3000,1000,4,930780
100,assurance,pilot,L5_cross_maximal,primary,broad,7116,3761,6345,3000,1000,4,930790
100,assurance,pilot,L5_cross_maximal,primary,broad,191,395,5914,3000,1000,4,930800
100,assurance,pilot,L5_cross_maximal,primary,broad,2383,7978,3781,3000,1000,4,930810
100,assurance,pilot,L5_cross_maximal,primary,broad,2090,6469,596,3000,1000,4,930820
100,assurance,pilot,L5_cross_maximal,primary,broad,5461,2754,1282,3000,1000,4,930830
100,assurance,pilot,L5_cross_maximal,primary,broad,7410,4074,266,3000,1000,4,930840
100,assurance,pilot,L5_cross_maximal,primary,broad,4242,1392,2226,3000,1000,4,930850
100,assurance,pilot,L5_cross_maximal,primary,broad,3235,521,7195,3000,1000,4,930860
100,assurance,pilot,L5_cross_maximal,primary,broad,5678,4313,3822,3000,1000,4,930870
100,assurance,pilot,L5_cross_maximal,primary,broad,6494,2459,1356,3000,1000,4,930880
100,assurance,pilot,L5_cross_maximal,primary,broad,6322,2085,4842,3000,1000,4,930890
130,assurance,pilot,L5_cross_maximal,primary,broad,2661,2177,2108,3000,1000,4,930900
130,assurance,pilot,L5_cross_maximal,primary,broad,6699,7166,3475,3000,1000,4,930910
130,assurance,pilot,L5_cross_maximal,primary,broad,1247,2206,241,3000,1000,4,930920
130,assurance,pilot,L5_cross_maximal,primary,broad,3984,1309,4665,3000,1000,4,930930
130,assurance,pilot,L5_cross_maximal,primary,broad,1575,2985,4080,3000,1000,4,930940
130,assurance,pilot,L5_cross_maximal,primary,broad,4083,527,5894,3000,1000,4,930950
130,assurance,pilot,L5_cross_maximal,primary,broad,3396,5559,5704,3000,1000,4,930960
130,assurance,pilot,L5_cross_maximal,primary,broad,1320,771,953,3000,1000,4,930970
130,assurance,pilot,L5_cross_maximal,primary,broad,3518,7973,2810,3000,1000,4,930980
130,assurance,pilot,L5_cross_maximal,primary,broad,551,5262,6470,3000,1000,4,930990
130,assurance,pilot,L5_cross_maximal,primary,broad,4764,4455,1106,3000,1000,4,931000
130,assurance,pilot,L5_cross_maximal,primary,broad,739,5208,3773,3000,1000,4,931010
130,assurance,pilot,L5_cross_maximal,primary,broad,5153,1119,1944,3000,1000,4,931020
130,assurance,pilot,L5_cross_maximal,primary,broad,2641,695,3683,3000,1000,4,931030
130,assurance,pilot,L5_cross_maximal,primary,broad,6951,3312,1321,3000,1000,4,931040
130,assurance,pilot,L5_cross_maximal,primary,broad,5227,7647,6324,3000,1000,4,931050
130,assurance,pilot,L5_cross_maximal,primary,broad,83,809,3654,3000,1000,4,931060
130,assurance,pilot,L5_cross_maximal,primary,broad,5303,1992,6838,3000,1000,4,931070
130,assurance,pilot,L5_cross_maximal,primary,broad,6940,6745,5122,3000,1000,4,931080
130,assurance,pilot,L5_cross_maximal,primary,broad,827,4290,3117,3000,1000,4,931090
130,assurance,pilot,L5_cross_maximal,primary,broad,2358,6332,7634,3000,1000,4,931100
130,assurance,pilot,L5_cross_maximal,primary,broad,189,2215,4654,3000,1000,4,931110
130,assurance,pilot,L5_cross_maximal,primary,broad,6577,6202,6686,3000,1000,4,931120
130,assurance,pilot,L5_cross_maximal,primary,broad,3264,1802,6006,3000,1000,4,931130
