language,model_level,n_participants,n_verbs,prior_regime,hypothesis,n_sims,p_bf_primary,p_bf_secondary,median_bf,mean_bf,p_convergence_ok
Norwegian,L5_correlated_maximal,50,20,literature_centred,H1a_semantics_positive,200,0.995,1,97243.07927302316,76062.47606337907,0.99
Norwegian,L5_correlated_maximal,50,20,literature_centred,H1b_active_interaction_negative,200,0.41,0.705,6.883379790851761,47.37064718745662,0.99
Norwegian,L5_correlated_maximal,50,20,primary,H1a_semantics_positive,200,0.995,1,476371.6088880877,503555.1349074118,1
Norwegian,L5_correlated_maximal,50,20,primary,H1b_active_interaction_negative,200,0.55,0.81,11.462677063524321,10001.68948227551,1
Norwegian,L5_correlated_maximal,50,20,weak,H1a_semantics_positive,200,1,1,982405.1934571476,609105.8550306916,0.995
Norwegian,L5_correlated_maximal,50,20,weak,H1b_active_interaction_negative,200,0.66,0.9,21.410687662343086,30430.009748417717,0.995
Norwegian,L5_correlated_maximal,60,20,primary,H1a_semantics_positive,200,1,1,987330.0549439844,712362.4899221933,0.995
Norwegian,L5_correlated_maximal,60,20,primary,H1b_active_interaction_negative,200,0.63,0.87,15.395193544903893,5082.999658120488,0.995
Norwegian,L5_correlated_maximal,70,20,primary,H1a_semantics_positive,200,1,1,998500.2503461002,872157.0137502538,0.99
Norwegian,L5_correlated_maximal,70,20,primary,H1b_active_interaction_negative,200,0.725,0.92,30.90307018312051,15684.415865221099,0.99
Norwegian,L5_correlated_maximal,80,20,primary,H1a_semantics_positive,200,1,1,999499.1254398915,955018.509088736,0.99
Norwegian,L5_correlated_maximal,80,20,primary,H1b_active_interaction_negative,200,0.815,0.94,42.794823192082404,45708.99285206064,0.99
Norwegian,L5_correlated_maximal,90,20,primary,H1a_semantics_positive,200,1,1,996006.9879953113,935862.2383845891,0.995
Norwegian,L5_correlated_maximal,90,20,primary,H1b_active_interaction_negative,200,0.775,0.95,56.79795247974312,36102.75555972734,0.995
Norwegian,L5_correlated_maximal,100,20,primary,H1a_semantics_positive,200,1,1,995260.2902590067,973171.6161343259,0.98
Norwegian,L5_correlated_maximal,100,20,primary,H1b_active_interaction_negative,200,0.895,0.985,131.73693636493925,70743.5792130563,0.98
