language,n_participants,n_verbs,hypothesis,reps,n_conv,p_bf_primary,p_bf_primary_conv,p_bf_secondary,p_convergence_ok,median_bf
English,50,12,H1a_semantics_positive,50,50,0.06,0.06,0.54,1,3.1991478387900347
English,50,12,H1b_active_interaction_negative,50,50,0.18,0.18,0.56,1,3.4304200261891244
English,50,12,H2a_pseudo_positive,50,50,0.12,0.12,0.42,1,2.678684707620615
English,50,12,H2b_pseudo_negative,50,50,0,0,0,1,0.37332679024900683
English,60,12,H1a_semantics_positive,50,50,0.16,0.16,0.66,1,4.5069890735417335
English,60,12,H1b_active_interaction_negative,50,50,0.32,0.32,0.68,1,5.379963524786774
English,60,12,H2a_pseudo_positive,50,50,0.2,0.2,0.44,1,2.4630117154654654
English,60,12,H2b_pseudo_negative,50,50,0,0,0.06,1,0.40611188599384224
English,70,12,H1a_semantics_positive,50,50,0.12,0.12,0.46,1,2.5037443816546636
English,70,12,H1b_active_interaction_negative,50,50,0.3,0.3,0.64,1,3.929600279426702
English,70,12,H2a_pseudo_positive,50,50,0.24,0.24,0.66,1,4.445030157447358
English,70,12,H2b_pseudo_negative,50,50,0,0,0.02,1,0.22502461108544441
English,80,12,H1a_semantics_positive,50,50,0.22,0.22,0.6,1,4.255099872706994
English,80,12,H1b_active_interaction_negative,50,50,0.42,0.42,0.74,1,8.393998218828852
English,80,12,H2a_pseudo_positive,50,50,0.16,0.16,0.58,1,3.656714631692144
English,80,12,H2b_pseudo_negative,50,50,0,0,0.02,1,0.27347481686625136
English,90,12,H1a_semantics_positive,50,50,0.12,0.12,0.62,1,3.728894099479856
English,90,12,H1b_active_interaction_negative,50,50,0.4,0.4,0.8,1,7.7703304225842675
English,90,12,H2a_pseudo_positive,50,50,0.22,0.22,0.58,1,3.9849014871465025
English,90,12,H2b_pseudo_negative,50,50,0.02,0.02,0.04,1,0.2509477799098674
English,100,12,H1a_semantics_positive,50,50,0.2,0.2,0.48,1,2.836039965404108
English,100,12,H1b_active_interaction_negative,50,50,0.4,0.4,0.9,1,8.512539881060606
English,100,12,H2a_pseudo_positive,50,50,0.24,0.24,0.6,1,4.126831880616268
English,100,12,H2b_pseudo_negative,50,50,0,0,0.02,1,0.24239637885232512
English,50,20,H1a_semantics_positive,50,49,0.42,0.40816326530612246,0.8,0.98,7.620950086053309
English,50,20,H1b_active_interaction_negative,50,49,0.38,0.3673469387755102,0.66,0.98,6.644628589395632
English,50,20,H2a_pseudo_positive,50,49,0.34,0.3469387755102041,0.58,0.98,4.148374174289872
English,50,20,H2b_pseudo_negative,50,49,0,0,0.02,0.98,0.24105840897807393
English,60,20,H1a_semantics_positive,50,50,0.4,0.4,0.78,1,6.099230353619468
English,60,20,H1b_active_interaction_negative,50,50,0.6,0.6,0.88,1,14.883611124247096
English,60,20,H2a_pseudo_positive,50,50,0.3,0.3,0.6,1,3.6714009919487767
English,60,20,H2b_pseudo_negative,50,50,0,0,0,1,0.27242472418744834
English,70,20,H1a_semantics_positive,50,50,0.36,0.36,0.78,1,7.080054310928924
English,70,20,H1b_active_interaction_negative,50,50,0.64,0.64,0.86,1,21.195697264229587
English,70,20,H2a_pseudo_positive,50,50,0.42,0.42,0.68,1,6.583856597384829
English,70,20,H2b_pseudo_negative,50,50,0,0,0,1,0.15189255265278118
English,80,20,H1a_semantics_positive,50,50,0.46,0.46,0.78,1,8.750549144882754
English,80,20,H1b_active_interaction_negative,50,50,0.56,0.56,0.9,1,14.342873608446464
English,80,20,H2a_pseudo_positive,50,50,0.46,0.46,0.84,1,7.4436792306139745
English,80,20,H2b_pseudo_negative,50,50,0,0,0,1,0.13472501082169686
English,90,20,H1a_semantics_positive,50,50,0.5,0.5,0.72,1,9.606019743064472
English,90,20,H1b_active_interaction_negative,50,50,0.74,0.74,0.92,1,39.7568898410522
English,90,20,H2a_pseudo_positive,50,50,0.24,0.24,0.68,1,5.719404211361165
