language,model_level,n_participants,n_verbs,prior_regime,hypothesis,n_sims,p_bf_primary,p_bf_secondary,median_bf,mean_bf,p_convergence_ok
English,L5_correlated_maximal,80,20,proposal,H1a_semantics_positive,200,1,1,995509.1067311639,949077.7385445859,0.99
English,L5_correlated_maximal,80,20,proposal,H1b_active_interaction_negative,200,0.825,0.945,78.6794229749951,5642.549473532467,0.99
English,L5_correlated_maximal,80,20,proposal,H2a_pseudo_positive,200,0.565,0.82,11.754372463347774,5047.794630857725,0.99
English,L5_correlated_maximal,80,20,proposal,H2b_pseudo_negative,200,0,0.005,0.08507509609345476,0.26000546340545055,0.99
English,L5_correlated_maximal,90,20,proposal,H1a_semantics_positive,200,1,1,995758.0473632376,997465.4318543673,0.985
English,L5_correlated_maximal,90,20,proposal,H1b_active_interaction_negative,200,0.87,0.98,73.5319599508361,55074.52438874584,0.985
English,L5_correlated_maximal,90,20,proposal,H2a_pseudo_positive,200,0.575,0.805,12.970093398056203,5063.020465707716,0.985
English,L5_correlated_maximal,90,20,proposal,H2b_pseudo_negative,200,0,0.02,0.07710528399190375,0.2762587715706281,0.985
English,L5_correlated_maximal,100,20,proposal,H1a_semantics_positive,200,1,1,998000.9999713021,988657.4840062163,0.995
English,L5_correlated_maximal,100,20,proposal,H1b_active_interaction_negative,200,0.885,0.96,132.89016534939532,80284.47286379644,0.995
English,L5_correlated_maximal,100,20,proposal,H2a_pseudo_positive,200,0.52,0.785,11.183242663070668,5311.845773906203,0.995
English,L5_correlated_maximal,100,20,proposal,H2b_pseudo_negative,200,0.005,0.025,0.08941976468760775,0.5155692510209539,0.995
Norwegian,L5_correlated_maximal,30,20,proposal,H1a_semantics_positive,400,0.975,1,402.1079247838733,120552.85667066745,0.9975
Norwegian,L5_correlated_maximal,30,20,proposal,H1b_active_interaction_negative,400,0.2975,0.6725,4.805417026162141,18.468702194323264,0.9975
Norwegian,L5_correlated_maximal,40,20,proposal,H1a_semantics_positive,400,0.995,1,3948.336838171804,324614.52681099117,1
Norwegian,L5_correlated_maximal,40,20,proposal,H1b_active_interaction_negative,400,0.445,0.7575,8.405271817488185,67.65744345031084,1
Norwegian,L5_correlated_maximal,50,20,heavy_tailed,H1a_semantics_positive,200,0.995,0.995,951717.35135692,506836.30539810203,0.995
Norwegian,L5_correlated_maximal,50,20,heavy_tailed,H1b_active_interaction_negative,200,0.52,0.83,11.040643734251223,69.8014941390062,0.995
Norwegian,L5_correlated_maximal,50,20,literature_centred,H1a_semantics_positive,200,0.995,1,97243.07927302316,76062.47606337907,0.99
Norwegian,L5_correlated_maximal,50,20,literature_centred,H1b_active_interaction_negative,200,0.41,0.705,6.883379790851761,47.37064718745662,0.99
Norwegian,L5_correlated_maximal,50,20,proposal,H1a_semantics_positive,400,0.9975,1,962227.2279893105,532400.183311084,1
Norwegian,L5_correlated_maximal,50,20,proposal,H1b_active_interaction_negative,400,0.5375,0.8075,11.306093701525178,10079.922305756509,1
Norwegian,L5_correlated_maximal,50,20,weak,H1a_semantics_positive,200,1,1,982405.1934571476,609105.8550306916,0.995
Norwegian,L5_correlated_maximal,50,20,weak,H1b_active_interaction_negative,200,0.66,0.9,21.410687662343086,30430.009748417717,0.995
Norwegian,L5_correlated_maximal,60,20,proposal,H1a_semantics_positive,400,1,1,986589.5274114114,711021.7256641387,0.995
Norwegian,L5_correlated_maximal,60,20,proposal,H1b_active_interaction_negative,400,0.6175,0.8775,15.495782365898764,5136.090638521961,0.995
Norwegian,L5_correlated_maximal,70,20,proposal,H1a_semantics_positive,200,1,1,998500.2503461002,872157.0137502538,0.99
Norwegian,L5_correlated_maximal,70,20,proposal,H1b_active_interaction_negative,200,0.725,0.92,30.90307018312051,15684.415865221099,0.99
Norwegian,L5_correlated_maximal,80,20,proposal,H1a_semantics_positive,200,1,1,999499.1254398915,955018.509088736,0.99
Norwegian,L5_correlated_maximal,80,20,proposal,H1b_active_interaction_negative,200,0.815,0.94,42.794823192082404,45708.99285206064,0.99
