language,meets_target,recommended_n_participants,n_verbs,target,regime
AllLanguages,TRUE,60,20,0.8,primary
English,TRUE,80,20,0.8,primary
Norwegian,TRUE,80,20,0.8,primary
Turkish,TRUE,80,20,0.8,primary
