n_participants,reps,p_h1a,p_h1b,p_joint,p_joint_bf6,p_joint_bf3,median_bf_h1a,median_bf_h1b,n_converged,p_joint_converged,mcse_p_joint
50,30,0.6666666666666666,0.5666666666666667,0.36666666666666664,0.7333333333333333,0.9666666666666667,12.75365125821666,11.202027298554565,9,0.4444444444444444,0.08798147953257401
70,30,0.6666666666666666,0.5,0.3,0.6666666666666666,0.9666666666666667,12.258759201501736,9.78519773805702,0,NA,0.08366600265340755
80,28,0.6071428571428571,0.6785714285714286,0.42857142857142855,0.7142857142857143,1,12.17802108492863,12.997636547897557,3,1,0.09352195295828244
100,16,0.625,0.5625,0.25,0.5625,0.875,13.438968014939835,11.716907915075877,1,0,0.10825317547305482
