"set","k","mean_raw","sd_raw","mu_DL","se_mu_DL","tau_DL","Q","df","p_Q","I2","tau_REML","tau_REML_lo","tau_REML_hi","mu_REML","se_mu_REML","tau_bayes_median","tau_bayes_lo","tau_bayes_hi","mu_bayes","mu_bayes_sd","p_mu_neg","bf_dir_mu","p_tau_gt_0.2","p_tau_gt_0.4"
"A | drop Indonesian",6,-0.358110690710051,0.435955173022654,-0.333386169411278,0.1613486945938,0.363779003440874,37.4629513232928,5,4.83657825100518e-07,0.866534807766434,0.398944961430281,0.216619638773665,1.05607830612733,-0.336828812407572,0.174720043449937,0.420856070459592,0.214063551067442,0.842801853412472,-0.336253880042576,0.205245625747606,0.954673830463608,21.062309924449,0.984147484994088,0.558274261599781
"A | drop Mandarin",6,-0.235345377969564,0.384969441290855,-0.210814851117728,0.124746973619434,0.275643936641232,30.9857398614675,5,9.42817289993822e-06,0.838635449004793,0.335073823719528,0.178224780657413,0.929523883582307,-0.216917377769306,0.147163272533476,0.362898531977703,0.169570203076888,0.766583988523936,-0.217094464434842,0.179959593375243,0.905887985250926,9.62563587302052,0.940950987171842,0.39815502323573
"A | drop Norwegian",6,-0.325230790026299,0.451300831035618,-0.292717626556943,0.151313584777426,0.339815331077099,39.637552147317,5,1.7669795535053e-07,0.873856993453658,0.412766371904052,0.227711124082237,1.09404791788429,-0.301546045429932,0.179195773854167,0.432852242713295,0.222721679229073,0.858491844795492,-0.300588941528249,0.209304512313773,0.935475292468648,14.4979392895987,0.988200293332201,0.591394295930395
"A | drop Turkish",6,-0.345650205504781,0.444245479101883,-0.316664048169364,0.156407600330903,0.352269606949359,40.0935491420803,5,1.42988349408815e-07,0.875291658957869,0.407659190082605,0.223960306267871,1.07682941521683,-0.322838982222252,0.177549869320796,0.42874425487797,0.220856866609231,0.852510898813829,-0.322045238809164,0.207910831936877,0.947052417405548,17.8866035237042,0.987538821675147,0.580355541897052
"A | drop Balinese+Indonesian",5,-0.496249361636523,0.307333610375636,-0.453444314242046,0.126156308540736,0.235184796177686,14.3240498059714,4,0.00632950898770214,0.720749365285474,0.251622030153786,0.0829453786688608,0.866712776322546,-0.45714000351743,0.132485052319442,0.282621810175689,0.0646608906248554,0.714597929439582,-0.456594024286796,0.174240497215865,0.991878466481607,122.129455506801,0.742531704901422,0.239008008006915
"B | shared axis | CLAPS-Eng",7,-0.34087884378881,0.507819102512284,-0.313637899627583,0.143454677517937,0.339432460614677,37.1964832492793,6,1.61220308103647e-06,0.838694428185862,0.444248342558529,0.250392102067796,1.09788445588044,-0.322813679569168,0.180069767808867,0.45323075816716,0.230091316171709,0.864323871457793,-0.321429885990458,0.20180465128412,0.949819138229704,18.9279160365463,0.989487108674409,0.647271828750404
"B | shared axis | drop Balinese",6,-0.481996042955622,0.377065183073031,-0.422431877079571,0.128181553210582,0.268972398963618,22.513597452028,5,0.000418042604105506,0.777911992490138,0.311229351274851,0.143763718815721,0.904276846940541,-0.433323695376898,0.143591251665724,0.336266140049744,0.127284381667798,0.744333667115647,-0.432228080428181,0.177173781037356,0.990534851998738,104.650751564234,0.878865565461448,0.337469220604288
"A | Glossa five only",5,-0.381200185182205,0.500993633500008,-0.355291889054305,0.208263592375456,0.435242334699348,39.7897117847943,4,4.78424319619249e-08,0.89947150103438,0.476491823636879,0.253695985355572,1.43056917965004,-0.359140459651558,0.225666310021159,0.487418840538203,0.25167760128674,0.964473048160104,-0.356646071625582,0.257711408195542,0.928834350701948,13.0517231257436,0.995702426226642,0.717823473210536
"A | CLAPS three only",3,-0.285631802274793,0.150109498829989,-0.270881984258714,0.0857873166905785,0.0832599414266516,2.90940159379825,2,0.23347020846211,0.312573415693712,0.0829949003150705,0,0.935028812816643,-0.270852365257001,0.085700332117177,0.160483681457515,0.00767828498912406,0.699867023653554,-0.276197220991446,0.176306910322822,0.956597827947523,22.0403215486752,0.402852627728363,0.132573328365671
"A | half-normal(0,0.25) prior",7,-0.317022002651358,0.412551478899748,-0.284009046775891,0.127490608080502,0.304979533128516,40.2117838885868,6,4.13878956059339e-07,0.850790006814322,0.367735163738427,0.207538407409966,0.89258186879697,-0.292304199926315,0.149461007640678,0.330735766201171,0.180340217019723,0.569904789357028,-0.285605261073197,0.146119896655623,0.975591799045935,39.9698364038364,0.950871180262923,0.252333383357993
"A | half-normal(0,0.5) prior",7,-0.317022002651358,0.412551478899748,-0.284009046775891,0.127490608080502,0.304979533128516,40.2117838885868,6,4.13878956059339e-07,0.850790006814322,0.367735163738427,0.207538407409966,0.89258186879697,-0.292304199926315,0.149461007640678,0.390002551335243,0.20173228401522,0.766876779998903,-0.292161166997935,0.175417941628091,0.95735914118014,22.4516852539155,0.976387417954196,0.469949661637296
"A | half-normal(0,1) prior",7,-0.317022002651358,0.412551478899748,-0.284009046775891,0.127490608080502,0.304979533128516,40.2117838885868,6,4.13878956059339e-07,0.850790006814322,0.367735163738427,0.207538407409966,0.89258186879697,-0.292304199926315,0.149461007640678,0.420127685064815,0.210317372991569,0.926252886200106,-0.29469980102517,0.195247320347607,0.945652262207777,17.4000298931136,0.982072142190519,0.553579601575808
