"set","k","mean_raw","sd_raw","mu_DL","se_mu_DL","tau_DL","Q","df","p_Q","I2","tau_REML","tau_REML_lo","tau_REML_hi","mu_REML","se_mu_REML","tau_bayes_median","tau_bayes_lo","tau_bayes_hi","mu_bayes","mu_bayes_sd","p_mu_neg","bf_dir_mu","p_tau_gt_0.2","p_tau_gt_0.4"
"A | CLAPS-Eng | SE=floor",7,-0.317022002651358,0.412551478899748,-0.269132471068249,0.0981245378524335,0.22889646855721,44.5090053139479,6,5.85839666306899e-08,0.86519581919033,0.362175066919683,0.208790063267954,0.892775870268884,-0.291517144884518,0.145291436575232,0.384948162716,0.198271549678042,0.760039934574966,-0.291688675323025,0.171698111204088,0.959938704673979,23.9617490363693,0.973538301721628,0.454826963090614
"A | CLAPS-Eng | SE=slope_sd",7,-0.317022002651358,0.412551478899748,-0.278380406235954,0.112612838558406,0.26850620584753,43.9764804657456,6,7.47190075063272e-08,0.863563433534124,0.36369482426592,0.208929022049405,0.892775136317408,-0.29213303389309,0.146289684948026,0.386514516437948,0.200079045083876,0.761863430296442,-0.292294211152012,0.172628429060216,0.959426653039584,23.6467219225373,0.975065821208764,0.459444119286133
"A | CLAPS-Eng | SE=calibrated",7,-0.317022002651358,0.412551478899748,-0.284009046775891,0.127490608080502,0.304979533128516,40.2117838885868,6,4.13878956059339e-07,0.850790006814322,0.367735163738427,0.207538407409966,0.89258186879697,-0.292304199926315,0.149461007640678,0.390002551335243,0.20173228401522,0.766876779998903,-0.292161166997935,0.175417941628091,0.95735914118014,22.4516852539155,0.976387417954196,0.469949661637296
"A | English=CLAPS | SE=calibrated",7,-0.317022002651358,0.412551478899748,-0.284009046775891,0.127490608080502,0.304979533128516,40.2117838885868,6,4.13878956059339e-07,0.850790006814322,0.367735163738427,0.207538407409966,0.89258186879697,-0.292304199926315,0.149461007640678,0.390002551335243,0.20173228401522,0.766876779998903,-0.292161166997935,0.175417941628091,0.95735914118014,22.4516852539155,0.976387417954196,0.469949661637296
"A | English=Glossa | SE=calibrated",7,-0.331288998549079,0.41934042324178,-0.296474062049421,0.13251414102075,0.316486607979699,40.47814194737,6,3.66847765327308e-07,0.851771852378964,0.378861308282704,0.21334952524839,0.908040626592386,-0.305170554512318,0.15430853925987,0.400182047963476,0.209363093410291,0.780324647845491,-0.304744557050688,0.179951222291423,0.959575434030985,23.7374331926408,0.981734260761072,0.50054867504956
"A | English=both | SE=calibrated",8,-0.345362041591925,0.390268986662638,-0.313459990394075,0.119460828425379,0.303367761834963,44.0020867193589,7,2.13510424164738e-07,0.840916635507645,0.348852198473863,0.200978237628444,0.777029855254549,-0.319700947472154,0.134218717331298,0.370198046628544,0.198489035170353,0.707686639482102,-0.319850709235187,0.155887399852473,0.97936502929521,47.4614208716988,0.97363720063976,0.404264069155398
"A | all 7",7,-0.317022002651358,0.412551478899748,-0.284009046775891,0.127490608080502,0.304979533128516,40.2117838885868,6,4.13878956059339e-07,0.850790006814322,0.367735163738427,0.207538407409966,0.89258186879697,-0.292304199926315,0.149461007640678,0.390002551335243,0.20173228401522,0.766876779998903,-0.292161166997935,0.175417941628091,0.95735914118014,22.4516852539155,0.976387417954196,0.469949661637296
"A | drop Balinese",6,-0.425289447080303,0.325230710874873,-0.37669778929127,0.114654010307089,0.24117849941074,22.7252519238435,5,0.00038092815588873,0.779980436883344,0.27026218000777,0.12407518156273,0.779818045516327,-0.383876916939726,0.1252304767288,0.299943327913327,0.115579970892961,0.682887830793845,-0.384417532831236,0.159283019891492,0.989735273158339,96.4210045162978,0.823061221148575,0.247196275572113
"A | drop English",6,-0.295880112611276,0.447754217589651,-0.258861769762155,0.142226136541243,0.316463152464084,35.962385232155,5,9.66408648132759e-07,0.860965840621457,0.4032194997705,0.220498499546844,1.08438472443946,-0.270654335278175,0.175277484863347,0.423452521175605,0.211838071487275,0.848634841618175,-0.269611459924439,0.205630199714897,0.920337562093604,11.5529675751952,0.982623801992954,0.564715292242164
"A | drop Hebrew",6,-0.233647394657232,0.381899640117896,-0.205872921813491,0.12274948480945,0.26949065475153,29.6547505012216,5,1.72451563783785e-05,0.831392950016759,0.328062263035764,0.172372801577869,0.92095767337771,-0.212593791856655,0.144769044529921,0.356078256745629,0.162519775964081,0.759035990506006,-0.212933778543928,0.177712362001031,0.905193931557397,9.54784800622146,0.930435342652346,0.380782847117084
