"language","structure","term","estimate","se","z","n_participants","n_rows","singular","p_two_sided","h1b_estimate","h1b_se","h1a_estimate","h1a_se","shift_if_one_version_only","shift_relative_to_matching_focal"
"English","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Gender_c",0.0208333,0.0159967,1.30235,70,30240,TRUE,0.192797,-0.328298,0.076271,0.257667,0.0789163,0.0104167,NA
"English","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypeActive:Gender_c",-0.0353175,0.0226228,-1.56115,70,30240,TRUE,0.11849,-0.328298,0.076271,0.257667,0.0789163,-0.0176587,NA
"English","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypePseudo_Passive:Gender_c",-0.00456349,0.0226228,-0.201721,70,30240,TRUE,0.840135,-0.328298,0.076271,0.257667,0.0789163,-0.00228175,NA
"English","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Semantics_scaled:Gender_c",-0.11989,0.032218,-3.72123,70,30240,TRUE,0.000198257,-0.328298,0.076271,0.257667,0.0789163,-0.0599452,-0.232646
"English","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypeActive:Semantics_scaled:Gender_c",0.135065,0.0455631,2.96434,70,30240,TRUE,0.00303331,-0.328298,0.076271,0.257667,0.0789163,0.0675323,-0.205705
"English","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypePseudo_Passive:Semantics_scaled:Gender_c",0.112786,0.0455631,2.47538,70,30240,TRUE,0.0133094,-0.328298,0.076271,0.257667,0.0789163,0.056393,NA
"Turkish","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","Gender_c",-0.0224206,0.0155713,-1.43987,70,30240,TRUE,0.149904,-0.119237,0.0340496,0.14385,0.0589731,-0.0112103,NA
"Turkish","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypeActive:Gender_c",-0.00575397,0.0202988,-0.283463,70,30240,TRUE,0.776822,-0.119237,0.0340496,0.14385,0.0589731,-0.00287698,NA
"Turkish","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypePseudo_Passive:Gender_c",0.0718254,0.0202988,3.5384,70,30240,TRUE,0.000402557,-0.119237,0.0340496,0.14385,0.0589731,0.0359127,NA
"Turkish","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","Semantics_scaled:Gender_c",-0.0478559,0.029832,-1.60418,70,30240,TRUE,0.108674,-0.119237,0.0340496,0.14385,0.0589731,-0.023928,-0.16634
