"population","K","mean_effect","tau_median","p_mu_negative","Q","df","p_Q","I2"
"claps_protocol",3,-0.285631802274793,0.155,0.961635454916922,4.03097702679278,2,0.133255290468449,0.503842372033738
"seven",7,-0.317022002651358,0.385,0.959173768028829,42.2673607212072,6,1.62825380659874e-07,0.85804649503489
"glossa_protocol",4,-0.340564652933782,0.53,0.866789630444842,34.7580553071438,3,1.37040010295754e-07,0.913689072259937
"drop_balinese",6,-0.425289447080303,0.295,0.990277330629713,23.8428743391479,5,0.000232738194570871,0.790293740222821
"drop_hebrew",6,-0.233647394657232,0.35,0.910668942516938,32.7477558364265,5,4.22331885627929e-06,0.847317781866496
