"K","languages","omitted","realised_tau","mean_effect","power","mcse"
5,"English+Turkish+Norwegian+Balinese+Hebrew","Indonesian+Mandarin",0.420830889173572,-0.268316478703636,0.09625,0.00466331259674923
5,"English+Turkish+Norwegian+Balinese+Indonesian","Hebrew+Mandarin",0.289242252586264,-0.118960523440254,0.0135,0.0018246746285297
5,"English+Turkish+Norwegian+Balinese+Mandarin","Hebrew+Indonesian",0.417520126422559,-0.266278898728837,0.11125,0.00497175616608458
5,"English+Turkish+Norwegian+Hebrew+Indonesian","Balinese+Mandarin",0.297471276226125,-0.34893098634794,0.95525,0.00326907622655086
5,"English+Turkish+Norwegian+Hebrew+Mandarin","Balinese+Indonesian",0.307333610375636,-0.496249361636523,1,0
5,"English+Turkish+Norwegian+Indonesian+Mandarin","Balinese+Hebrew",0.293469291632064,-0.346893406373141,0.9585,0.00315348022032801
5,"English+Turkish+Balinese+Hebrew+Indonesian","Norwegian+Mandarin",0.430042376532792,-0.228860597883135,0.01725,0.00205866689267594
5,"English+Turkish+Balinese+Hebrew+Mandarin","Norwegian+Indonesian",0.484894493547984,-0.376178973171719,0.4635,0.00788460128985607
5,"English+Turkish+Balinese+Indonesian+Mandarin","Norwegian+Hebrew",0.426567553873525,-0.226823017908336,0.01975,0.00219999644886077
5,"English+Turkish+Hebrew+Indonesian+Mandarin","Norwegian+Balinese",0.353235032319926,-0.456793480816022,0.99925,0.00043285029167139
5,"English+Norwegian+Balinese+Hebrew+Indonesian","Turkish+Mandarin",0.427570854766835,-0.253363896457313,0.047,0.00334630393120529
5,"English+Norwegian+Balinese+Hebrew+Mandarin","Turkish+Indonesian",0.473263768703382,-0.400682271745897,0.69675,0.00726789924083982
5,"English+Norwegian+Balinese+Indonesian+Mandarin","Turkish+Hebrew",0.424222921146348,-0.251326316482514,0.053,0.00354228033899069
5,"English+Norwegian+Hebrew+Indonesian+Mandarin","Turkish+Balinese",0.32968562233844,-0.4812967793902,1,0
5,"English+Balinese+Hebrew+Indonesian+Mandarin","Turkish+Norwegian",0.494846365537979,-0.361226390925396,0.326,0.00741154504809895
5,"Turkish+Norwegian+Balinese+Hebrew+Indonesian","English+Mandarin",0.414977908765458,-0.193639784985107,0.00575,0.00119550590755546
5,"Turkish+Norwegian+Balinese+Hebrew+Mandarin","English+Indonesian",0.485143866655798,-0.340958160273691,0.24075,0.00675998220226947
5,"Turkish+Norwegian+Balinese+Indonesian+Mandarin","English+Hebrew",0.411157736287888,-0.191602205010308,0.006,0.00122106510882917
5,"Turkish+Norwegian+Hebrew+Indonesian+Mandarin","English+Balinese",0.363476492727052,-0.421572667917994,0.98825,0.00170381465394567
5,"Turkish+Balinese+Hebrew+Indonesian+Mandarin","English+Norwegian",0.500367598383092,-0.30150227945319,0.052,0.00351055551159642
5,"Norwegian+Balinese+Hebrew+Indonesian+Mandarin","English+Turkish",0.493759275064915,-0.326005578027368,0.13125,0.00533908787856128
6,"English+Turkish+Norwegian+Balinese+Hebrew+Indonesian","Mandarin",0.384969441290855,-0.235345377969564,0.24025,0.00675518203862783
6,"English+Turkish+Norwegian+Balinese+Hebrew+Mandarin","Indonesian",0.435955173022654,-0.358110690710051,0.856,0.00555121608298578
6,"English+Turkish+Norwegian+Balinese+Indonesian+Mandarin","Hebrew",0.381899640117897,-0.233647394657232,0.2495,0.00684196152429988
6,"English+Turkish+Norwegian+Hebrew+Indonesian+Mandarin","Balinese",0.325230710874873,-0.425289447080303,1,0
6,"English+Turkish+Balinese+Hebrew+Indonesian+Mandarin","Norwegian",0.451300831035619,-0.325230790026299,0.608,0.00771906730117052
6,"English+Norwegian+Balinese+Hebrew+Indonesian+Mandarin","Turkish",0.444245479101884,-0.345650205504781,0.76775,0.00667663720558486
6,"Turkish+Norwegian+Balinese+Hebrew+Indonesian+Mandarin","English",0.447754217589651,-0.295880112611276,0.39375,0.00772513652791975
7,"English+Turkish+Norwegian+Balinese+Hebrew+Indonesian+Mandarin","",0.412551478899748,-0.317022002651358,0.90025,0.00473814144733987
