"language","S_Type","source","n","mean","sd","min","q05","q10","q25","median","q75","q90","q95","max","prop_adjacent","prop_le_5","prop_le_20"
"English","All","observed_raw_trials",15120,147.652,104.043,1,12,23,61,130,222,301,343,440,0.00482804,0.0223545,0.0896164
"English","All","random_order_baseline",302400,148.01,104.086,1,12,23,60,130,222,303,343,441,0.00466601,0.0224306,0.0881184
"English","All","observed_analysed_positions",15120,144.275,101.656,1,12,22,59,127,217,295,335,430,0.00502646,0.0228175,0.0912037
"English","Passive","observed_raw_trials",5040,147.045,103.712,1,12,22.9,59,131,222,297,338,439,0.0047619,0.0224206,0.0918651
"English","Passive","random_order_baseline",100800,147.828,104.062,1,12,23,60,130,222,303,343,441,0.00459325,0.0217163,0.0876786
"English","Active","observed_raw_trials",5040,149.16,104.966,1,12,23,61,131,225,304.1,347,440,0.00436508,0.0210317,0.0890873
"English","Active","random_order_baseline",100800,148.131,104.047,1,12,23,60,131,222,302,343,439,0.0047619,0.0225992,0.0884623
"English","Pseudo_Passive","observed_raw_trials",5040,146.751,103.447,1,11,23,61.75,128,219,304,342,438,0.00535714,0.0236111,0.0878968
"English","Pseudo_Passive","random_order_baseline",100800,148.07,104.148,1,12,23,60,130,222,303,343,441,0.00464286,0.0229762,0.0882143
"Turkish","All","observed_raw_trials",15120,146.54,103.765,1,12,23,59,128,219,302,344,438,0.00416667,0.0224868,0.0887566
"Turkish","All","random_order_baseline",302400,147.881,104.118,1,12,23,60,130,221,303,343,441,0.00453704,0.0225562,0.0881316
"Turkish","All","observed_analysed_positions",15120,143.307,101.471,1,12,22.9,58,126,214,295,336,428,0.00436508,0.0234127,0.091336
"Turkish","Passive","observed_raw_trials",5040,145.651,103.603,1,11,22,59,127,217,302,343,431,0.00436508,0.0222222,0.0934524
"Turkish","Passive","random_order_baseline",100800,147.978,104.261,1,12,23,60,130,222,303,344,441,0.0047619,0.0228274,0.0887302
"Turkish","Active","observed_raw_trials",5040,147.254,103.551,1,14,25,60,129,221,300,344,438,0.00337302,0.0198413,0.0809524
"Turkish","Active","random_order_baseline",100800,147.966,104.013,1,12,23,60,130,221,303,343,441,0.00451389,0.021994,0.0874702
"Turkish","Pseudo_Passive","observed_raw_trials",5040,146.713,104.153,1,11,22,59,129,218,303,345,431,0.0047619,0.0253968,0.0918651
"Turkish","Pseudo_Passive","random_order_baseline",100800,147.7,104.081,1,12,23,60,130,221,303,344,441,0.00433532,0.0228472,0.0881944
"Norwegian","All","observed_raw_trials",7524,134.604,94.4571,1,11,22,57,117,201,276,312,395,0.00531632,0.0255183,0.0933014
"Norwegian","All","random_order_baseline",150480,135.554,95.3389,1,11,22,55,119,203,277,315,405,0.00507709,0.0247076,0.095408
"Norwegian","All","observed_analysed_positions",7524,87.71,61.4425,1,7,15,37,76,131,180,202.85,257,0.0082403,0.0384104,0.143275
"Norwegian","Passive","observed_raw_trials",3762,137.272,94.5548,1,12,23,59,122,204,280,315,395,0.00318979,0.0207337,0.0882509
"Norwegian","Passive","random_order_baseline",75240,135.933,95.586,1,11,22,55,119,203,278,316,405,0.00471823,0.0241095,0.0951489
"Norwegian","Active","observed_raw_trials",3762,131.936,94.2964,1,10,21,55,113,198,273,308,395,0.00744285,0.030303,0.0983519
"Norwegian","Active","random_order_baseline",75240,135.175,95.0903,1,11,22,55,119,202,277,314,404,0.00543594,0.0253057,0.0956672
