"language","engine","variant","hypothesis","term","scheme","compared_with","n_reps","structure","r_mean","r_min","r_max","z_ratio_mean","z_ratio_min","z_ratio_max","est_full_mean","se_full_mean","z_full_mean","est_half_mean","se_half_mean","z_half_mean","n_half_singular","full_singular","r_analytic_N80","verb_floor_share_full"
"Norwegian","lmer","selected","h1a","Semantics_scaled","A_verb_split_lists","full data with participant x verb x S_Type cell term",10,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.988877,0.904235,1.02312,0.975884,0.816136,1.14931,0.172357,0.10006,1.72254,0.170247,0.101306,1.681,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1a","Semantics_scaled","B_random_per_cell","full data with participant x verb x S_Type cell term",5,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.979993,0.968104,0.992914,1.05741,0.844123,1.26555,0.172357,0.10006,1.72254,0.185855,0.10211,1.82142,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1a","Semantics_scaled","C_first_exposure","full data with participant x verb x S_Type cell term",1,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.957416,0.957416,0.957416,1.04643,1.04643,1.04643,0.172357,0.10006,1.72254,0.188381,0.10451,1.80252,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1a","Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.995645,0.910424,1.03013,0.982563,0.821722,1.15717,0.172357,0.100745,1.71083,0.170247,0.101306,1.681,0,FALSE,0.995825,0.815312
"Norwegian","lmer","selected","h1a","Semantics_scaled","B_random_per_cell","full data, same model",5,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.9867,0.97473,0.999709,1.06464,0.8499,1.27421,0.172357,0.100745,1.71083,0.185855,0.10211,1.82142,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1a","Semantics_scaled","C_first_exposure","full data, same model",1,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.963968,0.963968,0.963968,1.05359,1.05359,1.05359,0.172357,0.100745,1.71083,0.188381,0.10451,1.80252,0,FALSE,NA,NA
"Norwegian","lmer","selected","h1a","Semantics_scaled","boot80_A_verb_split_lists","full data, same model",3,"P[zcp:1,Act,Sem] V[corr:1,Act]",0.9827,0.959089,1.0127,1.07156,0.982847,1.19599,0.1784,0.10107,1.75153,0.189235,0.102909,1.8445,0,FALSE,NA,NA
"Norwegian","clmm","clmm","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data, same model",2,"R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)",0.997266,0.994611,0.999921,1.00559,0.878819,1.13237,-0.531104,0.220622,-2.4073,-0.535363,0.221229,-2.42076,0,FALSE,NA,NA
"Norwegian","lmer","maximal","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[corr:1,Act,Sem,ActSem] V[corr:1,Act]",0.949978,0.909887,1.01251,0.941634,0.862691,1.04919,-0.276052,0.0660232,-4.18114,-0.274024,0.0695747,-3.93711,9,FALSE,NA,NA
"Norwegian","lmer","maximal","h1b","S_TypeActive:Semantics_scaled","C_first_exposure","full data, same model",1,"P[corr:1,Act,Sem,ActSem] V[corr:1,Act]",0.88769,0.88769,0.88769,0.93836,0.93836,0.93836,-0.276052,0.0660232,-4.18114,-0.29181,0.0743764,-3.92342,0,FALSE,NA,NA
