"language","S_Type","comparison","replicates","n_pairs","pearson","spearman","exact_agreement","within_one_point","mean_abs_diff","pearson_double_centred"
"English","All","same_participant_other_version",1,15120,0.723066,0.709271,0.656548,0.88955,0.515344,0.451627
"English","Passive","same_participant_other_version",1,5040,0.569109,0.581295,0.62877,0.887103,0.552183,0.297711
"English","Active","same_participant_other_version",1,5040,0.570813,0.549617,0.799405,0.932937,0.309325,0.576025
"English","Pseudo_Passive","same_participant_other_version",1,5040,0.735561,0.728079,0.541468,0.848611,0.684524,0.473216
"English","All","different_participants_same_version",20,30240,0.215541,0.256143,0.440231,0.715828,1.08899,-0.00555845
"English","Passive","different_participants_same_version",20,10080,0.0751482,0.0589983,0.426483,0.748968,1.00021,-0.00996653
"English","Active","different_participants_same_version",20,10080,0.0634175,0.0557409,0.686959,0.864117,0.558571,-0.00680434
"English","Pseudo_Passive","different_participants_same_version",20,10080,0.0156257,0.0104543,0.207252,0.5344,1.70819,-0.00206941
"Turkish","All","same_participant_other_version",1,15120,0.680541,0.68908,0.698016,0.910714,0.434392,0.455657
"Turkish","Passive","same_participant_other_version",1,5040,0.677299,0.666646,0.596032,0.878968,0.572421,0.447023
"Turkish","Active","same_participant_other_version",1,5040,0.553369,0.529752,0.864484,0.955159,0.20119,0.58083
"Turkish","Pseudo_Passive","same_participant_other_version",1,5040,0.622378,0.624912,0.633532,0.898016,0.529563,0.397219
"Turkish","All","different_participants_same_version",20,30240,0.164357,0.203294,0.47795,0.7708,0.909408,-0.0119132
"Turkish","Passive","different_participants_same_version",20,10080,0.0562321,0.0488581,0.302465,0.661731,1.25517,-0.0108118
"Turkish","Active","different_participants_same_version",20,10080,0.0765552,0.0570021,0.789717,0.913686,0.351528,-0.00336252
"Turkish","Pseudo_Passive","different_participants_same_version",20,10080,0.043167,0.0297316,0.341667,0.736984,1.12153,-0.0177639
"Norwegian","All","same_participant_other_version",1,7524,0.699426,0.711321,0.655635,0.887693,0.53841,0.476922
"Norwegian","Passive","same_participant_other_version",1,3762,0.6797,0.700391,0.62387,0.872142,0.601276,0.452431
"Norwegian","Active","same_participant_other_version",1,3762,0.720115,0.719979,0.6874,0.903243,0.475545,0.505961
"Norwegian","All","different_participants_same_version",20,15048,0.0692804,0.0598997,0.428532,0.673661,1.23095,-0.0142182
"Norwegian","Passive","different_participants_same_version",20,7524,0.075029,0.0664384,0.39994,0.654705,1.30299,-0.016655
"Norwegian","Active","different_participants_same_version",20,7524,0.0556929,0.0441759,0.457124,0.692617,1.1589,-0.011336
