"axis","population","rho","K","mode","n_reps","se_lang","shared_verb_sd","prior_tau_scale","design_tau_prior_scale","bf_threshold","power","mcse","power_lo","power_hi","mean_z","sd_z","median_bf","mean_tau_hat","p_wrong_sign","seed"
"verb_sharing","seven",0,3,"assurance",4000,0.0885281236365185,0,1.1,0.5,10,0.34,0.0074899933244296,0.32531617528356,0.354917889508336,0.90044753857262,0.863742395503352,5.53784514784111,0.484415,0.1525,4201
"verb_sharing","seven",0,6,"assurance",4000,0.0885281236365185,0,1.1,0.5,10,0.58375,0.00779400310334811,0.568292442300534,0.59908509229818,1.4083525275475,1.06113547712313,15.1755712656899,0.44172125,0.104,4202
"verb_sharing","seven",0,8,"assurance",4000,0.0885281236365185,0,1.1,0.5,10,0.65275,0.00752773932698257,0.637763486591769,0.667513067075391,1.67830470898856,1.13018455397207,28.3492320518221,0.4304975,0.08275,4203
"verb_sharing","seven",0,10,"assurance",4000,0.0885281236365185,0,1.1,0.5,10,0.699,0.00725256851053473,0.684518572155848,0.713190204327434,1.8750481535543,1.2344349364531,47.8563234706416,0.42973625,0.08075,4204
"verb_sharing","seven",0,12,"assurance",4000,0.0885281236365185,0,1.1,0.5,10,0.742,0.00691801994793308,0.728142276547694,0.755503376726968,2.09151954089646,1.32142682553503,86.7083000333245,0.4253475,0.07575,4205
"verb_sharing","seven",0,16,"assurance",4000,0.0885281236365185,0,1.1,0.5,10,0.783,0.00651749568469362,0.769896579282479,0.795688735630266,2.38975771803913,1.47622166591226,199.315515283118,0.42179,0.068,4206
"verb_sharing","seven",0,20,"assurance",4000,0.0885281236365185,0,1.1,0.5,10,0.80175,0.00630370798617766,0.789051465043291,0.814006185121905,2.67640229403836,1.63883846036484,495.645540025627,0.42285125,0.0685,4207
"verb_sharing","seven",0.164,3,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.34025,0.00749132727725868,0.325563379377884,0.355170319227326,0.894321119643642,0.861020466931764,5.49524346621777,0.4874125,0.1515,4201
"verb_sharing","seven",0.164,6,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.5695,0.00782894868421042,0.553984414536901,0.584913962286144,1.4015321626145,1.05922008206486,14.7167569938259,0.4418525,0.10275,4202
"verb_sharing","seven",0.164,8,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.65825,0.00749928225732303,0.643315197891057,0.672953300573572,1.68446285517875,1.14694215867244,28.2684555340226,0.42937875,0.08425,4203
