"tau_prior_scale","mean_z","sd_z","p_bf10","p_bf6","p_bf3","row"
NA,1.386,0.311,0.578,0.859,0.985,"brms target (135 replicates)"
1,1.42954356459547,0.310498944419225,0.60725,0.878,0.992,"engine, tau prior scale 1"
1.1,1.40776519516873,0.308451187361111,0.58225,0.86375,0.99125,"engine, tau prior scale 1.1"
1.2,1.38944058720139,0.306782507327213,0.55725,0.848,0.99025,"engine, tau prior scale 1.2"
