"target","regime","min_K","at_6","at_8","at_10","at_12"
0.8,"claps_protocol",6,0.81,0.844,0.868,0.87575
0.8,"seven",20,0.5815,0.641,0.698,0.73625
0.8,"glossa_protocol",NA,0.48975,0.546,0.5905,0.625
0.9,"claps_protocol",20,0.81,0.844,0.868,0.87575
0.9,"seven",NA,0.5815,0.641,0.698,0.73625
0.9,"glossa_protocol",NA,0.48975,0.546,0.5905,0.625
0.95,"claps_protocol",NA,0.81,0.844,0.868,0.87575
0.95,"seven",NA,0.5815,0.641,0.698,0.73625
0.95,"glossa_protocol",NA,0.48975,0.546,0.5905,0.625
