"language","analysis","scheme","replicate","variant","engine","grp","var1","var2","vcov","sdcor","residual_sd"
"English","information_loss","full",0,"selected","lmer","Verb","Act","PP",0.0427752,0.843636,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","(Intercept)",NA,0.482632,0.694717,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Act",NA,0.184577,0.429625,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","PP",NA,0.864873,0.929986,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Sem",NA,0.11222,0.334993,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","ActSem",NA,0.182168,0.426812,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","PPSem",NA,0.196479,0.44326,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","(Intercept)","Act",-0.218054,-0.730578,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","(Intercept)","PP",0.205455,0.318004,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","(Intercept)","Sem",-0.103953,-0.446678,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","(Intercept)","ActSem",0.146011,0.492425,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","(Intercept)","PPSem",0.159281,0.517247,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Act","PP",-0.234827,-0.587737,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Act","Sem",0.071735,0.498433,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Act","ActSem",-0.0960983,-0.524071,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Act","PPSem",-0.11537,-0.605824,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","PP","Sem",-0.14049,-0.450956,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","PP","ActSem",0.193121,0.486539,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","PP","PPSem",0.225784,0.54772,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Sem","ActSem",-0.139454,-0.975344,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","Sem","PPSem",-0.139024,-0.936257,0.803268
"English","information_loss","full",0,"selected","lmer","Participant","ActSem","PPSem",0.183171,0.968194,0.803268
"English","information_loss","full",0,"selected","lmer","Residual",NA,NA,0.64524,0.803268,0.803268
"Turkish","information_loss","full",0,"selected","lmer","Verb","PP",NA,0.0173079,0.13156,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Verb","Act",NA,0.0131468,0.114659,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Verb","(Intercept)",NA,0.0545881,0.233641,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Participant","PPSem",NA,0.045321,0.212887,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Participant","Sem",NA,0.013516,0.116258,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Participant","PP",NA,0.7676,0.876128,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Participant","Act",NA,0.685743,0.828096,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Participant","(Intercept)",NA,0.86213,0.92851,0.721281
"Turkish","information_loss","full",0,"selected","lmer","Residual",NA,NA,0.520246,0.721281,0.721281
"Turkish","information_loss","full",0,"maximal","lmer","Verb","(Intercept)",NA,0.0688907,0.26247,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Verb","Act",NA,0.0215955,0.146954,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Verb","PP",NA,0.0258156,0.160672,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Verb","(Intercept)","Act",-0.0302071,-0.783155,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Verb","(Intercept)","PP",-0.0236686,-0.561242,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Verb","Act","PP",0.020063,0.849715,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","(Intercept)",NA,0.87392,0.934837,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Act",NA,0.696139,0.834349,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","PP",NA,0.776459,0.881169,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Sem",NA,0.0268634,0.163901,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","ActSem",NA,0.0127511,0.112921,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","PPSem",NA,0.0405382,0.201341,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","Act",-0.724643,-0.929053,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","PP",-0.488854,-0.59345,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","Sem",-0.0360111,-0.235028,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","ActSem",0.0573505,0.543285,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","(Intercept)","PPSem",0.00594433,0.0315816,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Act","PP",0.484238,0.658646,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Act","Sem",0.0368218,0.269263,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Act","ActSem",-0.0461364,-0.48969,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Act","PPSem",-0.0106285,-0.063269,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","PP","Sem",0.0130767,0.0905438,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","PP","ActSem",-0.0208061,-0.209102,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","PP","PPSem",-0.0470427,-0.265155,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Sem","ActSem",-0.0171817,-0.928349,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","Sem","PPSem",-0.000529043,-0.0160316,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Participant","ActSem","PPSem",8.93012e-06,0.000392781,0.720454
"Turkish","information_loss","full",0,"maximal","lmer","Residual",NA,NA,0.519054,0.720454,0.720454
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Cell","(Intercept)",NA,0.144748,0.380458,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","PV","(Intercept)",NA,0.348924,0.590698,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Verb","(Intercept)",NA,0.129969,0.360513,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Verb","Act",NA,0.0406461,0.201609,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Verb","(Intercept)","Act",-0.0476708,-0.655877,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","Sem",NA,0.0549785,0.234475,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","Act",NA,0.136863,0.36995,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","(Intercept)",NA,0.793656,0.890874,0.775719
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","Residual",NA,NA,0.60174,0.775719,0.775719
"Norwegian","gender","gender_model",0,"selected","lmer","VS","Gender_c",NA,0,0,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Verb","Gender_c",NA,2.25998e-10,1.50332e-05,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Verb","(Intercept)",NA,0.134474,0.366707,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Verb","Act",NA,0.0372878,0.1931,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Verb","(Intercept)","Act",-0.0459933,-0.649519,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Participant","Gender_c",NA,0,0,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Participant","Sem",NA,0.0735326,0.271169,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Participant","Act",NA,0.133638,0.365566,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Participant","(Intercept)",NA,0.796048,0.892215,1.04051
"Norwegian","gender","gender_model",0,"selected","lmer","Residual",NA,NA,1.08265,1.04051,1.04051
"Norwegian","variance","full_cell_term",0,"selected","lmer","Cell","(Intercept)",NA,0.491035,0.700739,0.775721
"Norwegian","variance","full_cell_term",0,"selected","lmer","Verb","(Intercept)",NA,0.130037,0.360606,0.775721
"Norwegian","variance","full_cell_term",0,"selected","lmer","Verb","Act",NA,0.0284806,0.168762,0.775721
"Norwegian","variance","full_cell_term",0,"selected","lmer","Verb","(Intercept)","Act",-0.0415801,-0.683247,0.775721
"Norwegian","variance","full_cell_term",0,"selected","lmer","Participant","Sem",NA,0.0658195,0.256553,0.775721
"Norwegian","variance","full_cell_term",0,"selected","lmer","Participant","Act",NA,0.125225,0.353871,0.775721
"Norwegian","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)",NA,0.788188,0.887799,0.775721
"Norwegian","variance","full_cell_term",0,"selected","lmer","Residual",NA,NA,0.601742,0.775721,0.775721
"Norwegian","information_loss","full",0,"selected","lmer","Verb","(Intercept)",NA,0.134469,0.366699,1.04054
"Norwegian","information_loss","full",0,"selected","lmer","Verb","Act",NA,0.0372681,0.19305,1.04054
"Norwegian","information_loss","full",0,"selected","lmer","Verb","(Intercept)","Act",-0.0459796,-0.649511,1.04054
"Norwegian","information_loss","full",0,"selected","lmer","Participant","Sem",NA,0.0735312,0.271166,1.04054
"Norwegian","information_loss","full",0,"selected","lmer","Participant","Act",NA,0.133623,0.365545,1.04054
"Norwegian","information_loss","full",0,"selected","lmer","Participant","(Intercept)",NA,0.795872,0.892116,1.04054
"Norwegian","information_loss","full",0,"selected","lmer","Residual",NA,NA,1.08273,1.04054,1.04054
"Norwegian","information_loss","full",0,"maximal","lmer","Verb","(Intercept)",NA,0.134552,0.366814,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Verb","Act",NA,0.0374052,0.193404,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Verb","(Intercept)","Act",-0.0461208,-0.650108,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","(Intercept)",NA,0.80541,0.897446,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","Act",NA,0.13542,0.367994,1.03898
"Norwegian","information_loss","full",0,"maximal","lmer","Participant","Sem",NA,0.11223,0.335007,1.03898
