"language","analysis","scheme","replicate","variant","engine","grp","var1","var2","vcov","sdcor","residual_sd"
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","PP","Sem",-0.140522,-0.458516,0.721687
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","PP","ActSem",0.193145,0.484149,0.721687
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","PP","PPSem",0.225834,0.545212,0.721687
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","Sem","ActSem",-0.140307,-0.993177,0.721687
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","Sem","PPSem",-0.139886,-0.953675,0.721687
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","ActSem","PPSem",0.184025,0.963803,0.721687
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","Residual",NA,NA,0.520833,0.721687,0.721687
"English","gender","gender_model",0,"selected","lmer","VS","Gender_c",NA,1.53387e-10,1.2385e-05,0.803029
"English","gender","gender_model",0,"selected","lmer","Verb","Gender_c",NA,0,0,0.803029
"English","gender","gender_model",0,"selected","lmer","Verb","(Intercept)",NA,0.0774924,0.278375,0.803029
"English","gender","gender_model",0,"selected","lmer","Verb","Act",NA,0.0478531,0.218753,0.803029
"English","gender","gender_model",0,"selected","lmer","Verb","PP",NA,0.0537317,0.231801,0.803029
"English","gender","gender_model",0,"selected","lmer","Verb","(Intercept)","Act",-0.0406669,-0.667816,0.803029
"English","gender","gender_model",0,"selected","lmer","Verb","(Intercept)","PP",-0.0541708,-0.8395,0.803029
"English","gender","gender_model",0,"selected","lmer","Verb","Act","PP",0.0427752,0.84357,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Gender_c",NA,0,0,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","(Intercept)",NA,0.482665,0.694741,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Act",NA,0.184469,0.429498,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","PP",NA,0.863957,0.929493,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Sem",NA,0.112227,0.335003,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","ActSem",NA,0.182141,0.42678,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","PPSem",NA,0.19647,0.443249,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","(Intercept)","Act",-0.217953,-0.730431,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","(Intercept)","PP",0.204914,0.317324,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","(Intercept)","Sem",-0.103886,-0.446358,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","(Intercept)","ActSem",0.14588,0.492003,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","(Intercept)","PPSem",0.159165,0.516865,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Act","PP",-0.234438,-0.587247,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Act","Sem",0.0716924,0.498268,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Act","ActSem",-0.0960108,-0.523788,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Act","PPSem",-0.115297,-0.605632,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","PP","Sem",-0.140436,-0.451006,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","PP","ActSem",0.193011,0.486556,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","PP","PPSem",0.225676,0.547761,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Sem","ActSem",-0.139445,-0.975328,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","Sem","PPSem",-0.139027,-0.93627,0.803029
"English","gender","gender_model",0,"selected","lmer","Participant","ActSem","PPSem",0.183143,0.968142,0.803029
"English","gender","gender_model",0,"selected","lmer","Residual",NA,NA,0.644856,0.803029,0.803029
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Cell","(Intercept)",NA,0.0268294,0.163797,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","PV","(Intercept)",NA,0.0844286,0.290566,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Verb","PP",NA,0.0189208,0.137553,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Verb","Act",NA,0.0147512,0.121455,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Verb","(Intercept)",NA,0.0551716,0.234886,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","PPSem",NA,0.0467939,0.216319,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","Sem",NA,0.00925904,0.0962239,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","PP",NA,0.769244,0.877065,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","Act",NA,0.687815,0.829346,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Participant","(Intercept)",NA,0.862366,0.928637,0.641385
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","Residual",NA,NA,0.411374,0.641385,0.641385
"Turkish","gender","gender_model",0,"selected","lmer","VS","Gender_c",NA,0,0,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Verb","Gender_c",NA,0.000963067,0.0310333,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Verb","PP",NA,0.0173383,0.131675,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Verb","Act",NA,0.0131766,0.11479,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Verb","(Intercept)",NA,0.0546257,0.233721,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Participant","Gender_c",NA,0.00161473,0.0401837,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Participant","PPSem",NA,0.0453505,0.212957,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Participant","Sem",NA,0.0135234,0.11629,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Participant","PP",NA,0.767562,0.876106,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Participant","Act",NA,0.685821,0.828143,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Participant","(Intercept)",NA,0.862122,0.928505,0.720537
"Turkish","gender","gender_model",0,"selected","lmer","Residual",NA,NA,0.519173,0.720537,0.720537
"English","variance","full_cell_term",0,"selected","lmer","Cell","(Intercept)",NA,0.127065,0.356462,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Verb","(Intercept)",NA,0.0765765,0.276725,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Verb","Act",NA,0.0459916,0.214457,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Verb","PP",NA,0.0518716,0.227753,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Verb","(Intercept)","Act",-0.0397423,-0.669678,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Verb","(Intercept)","PP",-0.0532507,-0.844914,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Verb","Act","PP",0.0418531,0.856886,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)",NA,0.482128,0.694354,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Act",NA,0.18279,0.427539,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","PP",NA,0.862498,0.928708,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Sem",NA,0.108656,0.32963,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","ActSem",NA,0.175311,0.418702,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","PPSem",NA,0.189473,0.435285,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)","Act",-0.217307,-0.732008,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)","PP",0.206216,0.319788,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)","Sem",-0.104143,-0.45501,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)","ActSem",0.146267,0.503106,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)","PPSem",0.159543,0.527864,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Act","PP",-0.235554,-0.593247,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Act","Sem",0.0717507,0.509124,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Act","ActSem",-0.0961359,-0.537038,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Act","PPSem",-0.11538,-0.619984,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","PP","Sem",-0.140394,-0.458611,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","PP","ActSem",0.192989,0.496305,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","PP","PPSem",0.225613,0.558099,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Sem","ActSem",-0.135836,-0.984197,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","Sem","PPSem",-0.135502,-0.94438,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Participant","ActSem","PPSem",0.179331,0.983956,0.721686
"English","variance","full_cell_term",0,"selected","lmer","Residual",NA,NA,0.520831,0.721686,0.721686
"Turkish","variance","full_cell_term",0,"selected","lmer","Cell","(Intercept)",NA,0.111232,0.333514,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Verb","PP",NA,0.0141301,0.11887,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Verb","Act",NA,0.00997652,0.0998825,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Verb","(Intercept)",NA,0.0510696,0.225986,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Participant","PPSem",NA,0.042516,0.206194,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Participant","Sem",NA,0.0125492,0.112023,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Participant","PP",NA,0.763888,0.874007,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Participant","Act",NA,0.681881,0.825761,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Participant","(Intercept)",NA,0.858602,0.926608,0.641387
"Turkish","variance","full_cell_term",0,"selected","lmer","Residual",NA,NA,0.411377,0.641387,0.641387
"English","information_loss","full",0,"selected","lmer","Verb","(Intercept)",NA,0.0774786,0.27835,0.803268
"English","information_loss","full",0,"selected","lmer","Verb","Act",NA,0.047846,0.218737,0.803268
"English","information_loss","full",0,"selected","lmer","Verb","PP",NA,0.0537314,0.2318,0.803268
"English","information_loss","full",0,"selected","lmer","Verb","(Intercept)","Act",-0.0406579,-0.667778,0.803268
"English","information_loss","full",0,"selected","lmer","Verb","(Intercept)","PP",-0.0541657,-0.839497,0.803268
