"language","analysis","scheme","replicate","variant","engine","structure","hypothesis","term","estimate","se","z","n_participants","n_rows","singular","opt_conv","max_grad","warnings","secs"
"Turkish","information_loss","boot80_full",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.154767,0.0626116,2.47186,80,34560,FALSE,0,NA,"",67.39
"Turkish","information_loss","boot80_full",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.123655,0.0392706,-3.1488,80,34560,FALSE,0,NA,"",67.39
"Turkish","information_loss","boot80_full",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.111309,0.0479879,2.31953,80,34560,FALSE,0,NA,"",67.39
"Turkish","information_loss","boot80_full",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.146064,0.0613028,2.38267,80,34560,FALSE,0,NA,"",30.03
"Turkish","information_loss","boot80_full",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.100599,0.0411425,-2.44514,80,34560,FALSE,0,NA,"",30.03
"Turkish","information_loss","boot80_full",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.13926,0.0527131,2.64184,80,34560,FALSE,0,NA,"",30.03
"Turkish","information_loss","boot80_full",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.130484,0.063346,2.05987,80,34560,FALSE,0,NA,"",19.82
"Turkish","information_loss","boot80_full",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.122155,0.0384751,-3.1749,80,34560,FALSE,0,NA,"",19.82
"Turkish","information_loss","boot80_full",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0842009,0.0492475,1.70975,80,34560,FALSE,0,NA,"",19.82
"English","information_loss","full",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.257667,0.0789163,3.26506,70,30240,FALSE,0,NA,"",108.61
"English","information_loss","full",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.328298,0.076271,-4.30436,70,30240,FALSE,0,NA,"",108.61
"English","information_loss","full",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.41391,0.0797075,-5.19286,70,30240,FALSE,0,NA,"",108.61
"Turkish","information_loss","full",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.14385,0.0589731,2.43924,70,30240,FALSE,0,NA,"",17.23
"Turkish","information_loss","full",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.119237,0.0340496,-3.50185,70,30240,FALSE,0,NA,"",17.23
"Turkish","information_loss","full",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0920506,0.0451801,2.03741,70,30240,FALSE,0,NA,"",17.23
"Turkish","information_loss","full",0,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.14385,0.0668865,2.15065,70,30240,TRUE,0,NA,"",111.08
"Turkish","information_loss","full",0,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.119237,0.0426211,-2.7976,70,30240,TRUE,0,NA,"",111.08
"Turkish","information_loss","full",0,"maximal","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0920506,0.0495103,1.85922,70,30240,TRUE,0,NA,"",111.08
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.172357,0.0990982,1.73925,57,15048,FALSE,0,NA,"",9.69
"Norwegian","variance","full_cell_and_participant_verb",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.276052,0.0588515,-4.69066,57,15048,FALSE,0,NA,"",9.69
"Norwegian","variance","full_cell_term",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.172357,0.10006,1.72254,57,15048,FALSE,0,NA,"",6.19
"Norwegian","variance","full_cell_term",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.276052,0.0588436,-4.69129,57,15048,FALSE,0,NA,"",6.19
"English","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.30826,0.0825013,3.73642,80,17280,FALSE,0,NA,"",94.67
"English","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.406144,0.0902569,-4.49987,80,17280,FALSE,0,NA,"",94.67
"English","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.514396,0.0853791,-6.02485,80,17280,FALSE,0,NA,"",94.67
"English","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.267912,0.084474,3.17153,80,17280,FALSE,0,NA,"",87.7
"English","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.332848,0.0819872,-4.05976,80,17280,FALSE,0,NA,"",87.7
"English","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.414406,0.0898578,-4.61179,80,17280,FALSE,0,NA,"",87.7
"English","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.221736,0.0771197,2.87521,80,17280,FALSE,0,NA,"",101.98
"English","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.26782,0.0717303,-3.7337,80,17280,FALSE,0,NA,"",101.98
"English","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.353656,0.0815043,-4.33911,80,17280,FALSE,0,NA,"",101.98
"Turkish","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.17909,0.058182,3.07811,80,17280,FALSE,0,NA,"",20.69
"Turkish","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.153934,0.0367215,-4.19192,80,17280,FALSE,0,NA,"",20.69
"Turkish","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0676947,0.0462,1.46525,80,17280,FALSE,0,NA,"",20.69
"Turkish","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.145196,0.0579957,2.50357,80,17280,FALSE,0,NA,"",17.81
"Turkish","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.102053,0.0377933,-2.7003,80,17280,FALSE,0,NA,"",17.81
"Turkish","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.155345,0.0567933,2.73527,80,17280,FALSE,0,NA,"",17.81
"Turkish","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.142433,0.0587569,2.4241,80,17280,FALSE,0,NA,"",18.8
"Turkish","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.14049,0.0340313,-4.12824,80,17280,FALSE,0,NA,"",18.8
"Turkish","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0740458,0.0464152,1.59529,80,17280,FALSE,0,NA,"",18.8
"Norwegian","information_loss","boot80_full",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.212796,0.117186,1.81588,80,21120,FALSE,0,NA,"",5.18
"Norwegian","information_loss","boot80_full",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.326271,0.0772098,-4.22577,80,21120,FALSE,0,NA,"",5.18
"Norwegian","information_loss","boot80_full",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.21661,0.0953319,2.27217,80,21120,FALSE,0,NA,"",5.63
"Norwegian","information_loss","boot80_full",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.249418,0.0599322,-4.16166,80,21120,FALSE,0,NA,"",5.63
"Norwegian","information_loss","boot80_full",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.105794,0.0906917,1.16653,80,21120,FALSE,0,NA,"",7.13
"Norwegian","information_loss","boot80_full",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.253922,0.0552342,-4.59719,80,21120,FALSE,0,NA,"",7.13
"English","information_loss","C_first_exposure",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.274157,0.084228,3.25494,70,15120,TRUE,0,NA,"",89.29
"English","information_loss","C_first_exposure",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.353554,0.0818696,-4.3185,70,15120,TRUE,0,NA,"",89.29
"English","information_loss","C_first_exposure",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.459119,0.0840275,-5.46391,70,15120,TRUE,0,NA,"",89.29
"English","information_loss","A_verb_split_lists",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.26369,0.083285,3.16611,70,15120,FALSE,0,NA,"",76.08
"English","information_loss","A_verb_split_lists",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.327982,0.083001,-3.95154,70,15120,FALSE,0,NA,"",76.08
"English","information_loss","A_verb_split_lists",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.405769,0.0814453,-4.9821,70,15120,FALSE,0,NA,"",76.08
"English","information_loss","A_verb_split_lists",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.274145,0.0830557,3.30074,70,15120,TRUE,0,NA,"",107.52
"English","information_loss","A_verb_split_lists",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.343685,0.0778453,-4.41498,70,15120,TRUE,0,NA,"",107.52
"English","information_loss","A_verb_split_lists",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.410419,0.0841953,-4.87461,70,15120,TRUE,0,NA,"",107.52
"English","information_loss","A_verb_split_lists",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.269117,0.0800667,3.36116,70,15120,FALSE,0,NA,"",83.25
"English","information_loss","A_verb_split_lists",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.31413,0.0764162,-4.11078,70,15120,FALSE,0,NA,"",83.25
"English","information_loss","A_verb_split_lists",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.41205,0.079116,-5.20818,70,15120,FALSE,0,NA,"",83.25
"English","information_loss","A_verb_split_lists",4,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.257688,0.0799158,3.22449,70,15120,FALSE,0,NA,"",87.52
"English","information_loss","A_verb_split_lists",4,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.329099,0.0820809,-4.00944,70,15120,FALSE,0,NA,"",87.52
"English","information_loss","A_verb_split_lists",4,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.426427,0.0836741,-5.09628,70,15120,FALSE,0,NA,"",87.52
"English","information_loss","A_verb_split_lists",5,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.273985,0.085433,3.20701,70,15120,FALSE,0,NA,"",151.88
"English","information_loss","A_verb_split_lists",5,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.34094,0.0790987,-4.31031,70,15120,FALSE,0,NA,"",151.88
"English","information_loss","A_verb_split_lists",5,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.39174,0.0839468,-4.66652,70,15120,FALSE,0,NA,"",151.88
"English","information_loss","A_verb_split_lists",6,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.277183,0.0781766,3.54559,70,15120,FALSE,0,NA,"",81.67
"English","information_loss","A_verb_split_lists",6,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.343042,0.0723163,-4.74363,70,15120,FALSE,0,NA,"",81.67
"English","information_loss","A_verb_split_lists",6,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.450499,0.0820499,-5.49055,70,15120,FALSE,0,NA,"",81.67
