"language","analysis","scheme","replicate","variant","engine","structure","hypothesis","term","estimate","se","z","n_participants","n_rows","singular","opt_conv","max_grad","warnings","secs"
"English","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.682077,0.156508,4.3581,70,30240,FALSE,0,0.023272,"",1200.17
"English","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.981336,0.225538,-4.35109,70,30240,FALSE,0,0.023272,"",1200.17
"English","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h2","S_TypePseudo_Passive:Semantics_scaled",-0.930159,0.219898,-4.22996,70,30240,FALSE,0,0.023272,"",1200.17
"Turkish","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.286295,0.143557,1.9943,70,30240,FALSE,0,0.0210712,"",1074.83
"Turkish","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.238051,0.211634,-1.12483,70,30240,FALSE,0,0.0210712,"",1074.83
"Turkish","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h2","S_TypePseudo_Passive:Semantics_scaled",0.254481,0.203232,1.25217,70,30240,FALSE,0,0.0210712,"",1074.83
"English","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.694985,0.158561,4.38309,70,15120,FALSE,0,0.0181077,"",1046.89
"English","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.950097,0.232015,-4.09497,70,15120,FALSE,0,0.0181077,"",1046.89
"English","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h2","S_TypePseudo_Passive:Semantics_scaled",-0.933532,0.221301,-4.21838,70,15120,FALSE,0,0.0181077,"",1046.89
"English","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.71866,0.159704,4.49995,70,15120,FALSE,0,0.015133,"",741.59
"English","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-1.03836,0.233693,-4.44326,70,15120,FALSE,0,0.015133,"",741.59
"English","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h2","S_TypePseudo_Passive:Semantics_scaled",-0.934528,0.222867,-4.1932,70,15120,FALSE,0,0.015133,"",741.59
"Turkish","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.289334,0.146332,1.97724,70,15120,FALSE,0,0.0184004,"",986.42
"Turkish","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.261646,0.223714,-1.16956,70,15120,FALSE,0,0.0184004,"",986.42
"Turkish","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h2","S_TypePseudo_Passive:Semantics_scaled",0.200935,0.207358,0.969025,70,15120,FALSE,0,0.0184004,"",986.42
"Turkish","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.262126,0.143976,1.82063,70,15120,FALSE,0,0.00296337,"",962.4
"Turkish","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.195175,0.219837,-0.887818,70,15120,FALSE,0,0.00296337,"",962.4
"Turkish","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h2","S_TypePseudo_Passive:Semantics_scaled",0.251639,0.20406,1.23317,70,15120,FALSE,0,0.00296337,"",962.4
"Norwegian","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.450711,0.155603,2.89655,57,15048,FALSE,0,0.00903287,"",501.07
"Norwegian","ordinal","full",0,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.531104,0.220622,-2.4073,57,15048,FALSE,0,0.00903287,"",501.07
"Norwegian","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.379058,0.155867,2.43193,57,7524,FALSE,0,0.0133989,"",235.28
"Norwegian","ordinal","A_verb_split_lists",1,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.469273,0.221818,-2.11558,57,7524,FALSE,0,0.0133989,"",235.28
"Norwegian","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1a","Semantics_scaled",0.466493,0.155471,3.00051,57,7524,FALSE,0,0.0187882,"",401.02
"Norwegian","ordinal","A_verb_split_lists",2,"clmm","clmm","R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)","h1b","S_TypeActive:Semantics_scaled",-0.601452,0.22064,-2.72594,57,7524,FALSE,0,0.0187882,"",401.02
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.257667,0.0785894,3.27865,70,30240,FALSE,0,NA,"",467.3
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.328298,0.0764356,-4.29509,70,30240,FALSE,0,NA,"",467.3
"English","variance","full_cell_and_participant_verb",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.41391,0.0798686,-5.18238,70,30240,FALSE,0,NA,"",467.3
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.14385,0.0591238,2.43303,70,30240,FALSE,0,NA,"",88.66
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.119237,0.0347178,-3.43445,70,30240,FALSE,0,NA,"",88.66
"Turkish","variance","full_cell_and_participant_verb",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0920506,0.0459208,2.00455,70,30240,FALSE,0,NA,"",88.66
"English","variance","full_cell_term",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.257667,0.0786018,3.27813,70,30240,FALSE,0,NA,"",334.96
"English","variance","full_cell_term",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.328298,0.0756256,-4.34109,70,30240,FALSE,0,NA,"",334.96
"English","variance","full_cell_term",0,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.41391,0.0790747,-5.23441,70,30240,FALSE,0,NA,"",334.96
"Turkish","variance","full_cell_term",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.14385,0.0575457,2.49975,70,30240,FALSE,0,NA,"",52.63
"Turkish","variance","full_cell_term",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.119237,0.0327443,-3.64144,70,30240,FALSE,0,NA,"",52.63
"Turkish","variance","full_cell_term",0,"selected","lmer","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0920506,0.0437443,2.10429,70,30240,FALSE,0,NA,"",52.63
"English","information_loss","boot80_full",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.316273,0.0834869,3.78829,80,34560,FALSE,0,NA,"",218.22
"English","information_loss","boot80_full",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.401974,0.0862576,-4.66016,80,34560,FALSE,0,NA,"",218.22
"English","information_loss","boot80_full",1,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.488514,0.0848359,-5.75833,80,34560,FALSE,0,NA,"",218.22
"English","information_loss","boot80_full",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.286652,0.0821566,3.48909,80,34560,TRUE,0,NA,"",263.01
"English","information_loss","boot80_full",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.332557,0.0759254,-4.38005,80,34560,TRUE,0,NA,"",263.01
"English","information_loss","boot80_full",2,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.469469,0.083355,-5.63216,80,34560,TRUE,0,NA,"",263.01
"English","information_loss","boot80_full",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.219159,0.0714809,3.06597,80,34560,FALSE,0,NA,"",247.12
"English","information_loss","boot80_full",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.251389,0.0670813,-3.74754,80,34560,FALSE,0,NA,"",247.12
"English","information_loss","boot80_full",3,"selected","lmer","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.350238,0.0733019,-4.77803,80,34560,FALSE,0,NA,"",247.12
