"population","K","e_wrong_sign","p_any_wrong_sign","p_contradiction","p_pooled"
"claps_protocol",6,0.4795,0.256,0.10625,0.7985
"claps_protocol",8,0.58025,0.281,0.0785,0.84175
"claps_protocol",10,0.75075,0.31425,0.04925,0.865
"claps_protocol",12,0.864,0.32375,0.03975,0.8835
"seven",6,1.06025,0.59825,0.287,0.5575
"seven",8,1.41575,0.68925,0.21025,0.64025
"seven",10,1.7425,0.73375,0.16225,0.6945
"seven",12,2.047,0.769,0.114,0.74275
"glossa_protocol",6,1.409,0.6855,0.3015,0.492
"glossa_protocol",8,1.932,0.77525,0.245,0.53425
"glossa_protocol",10,2.381,0.804,0.19575,0.5865
"glossa_protocol",12,2.86725,0.84225,0.16,0.61975
