"K","mean_power","var_between_sets","mean_within_var","share_due_to_which_languages","p10","p90"
6,0.544,0.209748297040759,0.0393644444444444,0.841981408860283,0,1
8,0.656033333333333,0.193659898380793,0.032962,0.854550684485866,0,1
10,0.635833333333333,0.203123813512004,0.0294411111111111,0.873406915686783,0,1
12,0.715533333333333,0.175989328866555,0.028436,0.860897863500259,0,1
