"language","segment","n_rows","trial_range","mean_rating","sd_rating","prop_7","mean_within_participant_sd","prop_consecutive_identical","mean_longest_run","max_longest_run","n_participants_sd_below_0.5","n_participants_modal_share_above_0.9","n_participants"
"English","whole_session",30240,"1-442",6.06825,1.3713,0.555192,0.994445,0.498409,40.1857,432,18,11,70
"English","half_first",15119,"1-221",6.14115,1.30405,0.572525,0.943839,0.511023,26.2286,219,19,10,70
"English","half_second",15121,"221-442",5.99537,1.43173,0.537861,1.00417,0.486233,25.7714,220,19,11,70
"English","quarter_1",7538,"1-110",6.2234,1.21574,0.59273,0.876382,0.528936,19.3286,109,19,13,70
"English","quarter_2",7581,"111-221",6.05936,1.38153,0.552434,0.970723,0.493263,18.5,110,18,11,70
"English","quarter_3",7523,"221-331",5.98883,1.44495,0.540077,0.996222,0.489282,17.2143,110,19,10,70
"English","quarter_4",7598,"331-442",6.00184,1.41858,0.535667,0.998256,0.483641,16.8286,111,22,10,70
"English","exposure_1",15120,"1-440",6.11944,1.33045,0.568849,0.972957,NA,NA,NA,17,10,70
"English","exposure_2",15120,"4-442",6.01706,1.40914,0.541534,1.00024,NA,NA,NA,20,10,70
"Turkish","whole_session",30240,"1-442",6.25893,1.1348,0.588823,0.885908,0.532615,38.8143,432,10,10,70
"Turkish","half_first",15110,"1-221",6.29775,1.09341,0.602713,0.876621,0.539513,24.7571,215,10,11,70
"Turkish","half_second",15130,"221-442",6.22016,1.17343,0.57495,0.848388,0.526234,28.3143,217,18,12,70
"Turkish","quarter_1",7516,"1-110",6.29031,1.10491,0.602182,0.89775,0.52812,16.5857,105,8,10,70
"Turkish","quarter_2",7594,"111-221",6.30511,1.08192,0.603239,0.821006,0.551711,20.2,110,14,12,70
"Turkish","quarter_3",7536,"221-331",6.21882,1.17099,0.573248,0.847418,0.524526,17.9143,108,18,12,70
"Turkish","quarter_4",7594,"331-442",6.22149,1.17592,0.576639,0.834719,0.527928,19.9286,109,21,13,70
"Turkish","exposure_1",15120,"1-438",6.27024,1.12796,0.595767,0.903744,NA,NA,NA,9,9,70
"Turkish","exposure_2",15120,"7-442",6.24762,1.14152,0.581878,0.846584,NA,NA,NA,16,12,70
"Norwegian","whole_session",15048,"1-406",6.12978,1.41486,0.612108,1.00599,0.620172,39.4912,264,10,10,57
"Norwegian","half_first",7555,"1-203",6.11542,1.41325,0.60503,0.996248,0.617314,27.2456,133,8,11,57
"Norwegian","half_second",7493,"203-406",6.14427,1.41643,0.619245,0.980901,0.623101,28.386,137,11,16,57
"Norwegian","quarter_1",3716,"1-101",6.07212,1.4721,0.599839,1.00152,0.61174,18.4035,76,11,14,57
"Norwegian","quarter_2",3839,"102-203",6.15733,1.35272,0.610055,0.943511,0.624093,18.7895,73,10,18,57
"Norwegian","quarter_3",3699,"203-304",6.09949,1.45599,0.609624,1.00131,0.613957,18.386,73,12,14,57
"Norwegian","quarter_4",3794,"304-406",6.18793,1.37556,0.628624,0.922316,0.631618,20.0351,70,12,16,57
"Norwegian","exposure_1",7524,"1-403",6.1054,1.43249,0.604067,1.02686,NA,NA,NA,9,10,57
"Norwegian","exposure_2",7524,"5-406",6.15417,1.39668,0.620149,0.967165,NA,NA,NA,10,15,57
