"language","Verb","S_Type","n","mean_man","mean_woman","woman_minus_man","se","t","p","p_bh","rank_abs_diff"
"English","spot","Active",70,6.71429,6.6,-0.114286,0.0944481,-1.21004,0.230394,0.829417,20
"English","teach","Active",70,6.82857,6.71429,-0.114286,0.0876253,-1.30425,0.196481,0.788941,21
"English","chase","Active",70,6.92857,6.82857,-0.1,0.0580925,-1.72139,0.0896607,0.788941,22
"English","listento","Active",70,6.75714,6.85714,0.1,0.0765455,1.30641,0.19575,0.788941,23
"English","terrify","Active",70,6.64286,6.54286,-0.1,0.141202,-0.708207,0.481202,0.901511,24
"English","avoid","Active",70,6.71429,6.8,0.0857143,0.0880966,0.972958,0.333973,0.901511,25
"English","calm","Active",70,6.58571,6.5,-0.0857143,0.118204,-0.725138,0.470819,0.901511,26
"English","shock","Active",70,6.58571,6.67143,0.0857143,0.126659,0.676731,0.500839,0.901511,27
"English","drop","Active",70,6.75714,6.68571,-0.0714286,0.0982696,-0.726864,0.469768,0.901511,28
"English","fear","Active",70,6.5,6.42857,-0.0714286,0.14435,-0.494828,0.622294,0.911034,29
"English","hit","Active",70,6.7,6.77143,0.0714286,0.0684687,1.04323,0.300483,0.901511,30
"English","hug","Active",70,6.9,6.82857,-0.0714286,0.0550604,-1.29728,0.198857,0.788941,31
"English","push","Active",70,6.8,6.72857,-0.0714286,0.0939614,-0.76019,0.449731,0.901511,32
"English","squash","Active",70,6.58571,6.65714,0.0714286,0.0822092,0.868863,0.387934,0.901511,33
"English","upset","Active",70,6.74286,6.67143,-0.0714286,0.0846902,-0.84341,0.401914,0.901511,34
"English","admire","Active",70,6.74286,6.8,0.0571429,0.0884317,0.64618,0.520306,0.911034,35
"English","amuse","Active",70,6.75714,6.7,-0.0571429,0.0785102,-0.72784,0.469174,0.901511,36
"English","annoy","Active",70,6.7,6.75714,0.0571429,0.0836183,0.683378,0.496657,0.901511,37
"English","believe","Active",70,6.74286,6.68571,-0.0571429,0.116693,-0.489685,0.62591,0.911034,38
"English","bother","Active",70,6.54286,6.6,0.0571429,0.1219,0.46877,0.640712,0.911034,39
"English","dress","Active",70,6.51429,6.57143,0.0571429,0.116693,0.489685,0.62591,0.911034,40
"English","kick","Active",70,6.75714,6.81429,0.0571429,0.0973472,0.587,0.559119,0.911034,41
"English","love","Active",70,6.9,6.84286,-0.0571429,0.0671382,-0.851122,0.397645,0.901511,42
"English","carry","Active",70,6.75714,6.71429,-0.0428571,0.0963854,-0.444643,0.657969,0.911034,43
"English","impress","Active",70,6.81429,6.85714,0.0428571,0.0873718,0.490514,0.625326,0.911034,44
"English","know","Active",70,6.78571,6.74286,-0.0428571,0.0963854,-0.444643,0.657969,0.911034,45
"English","lead","Active",70,6.78571,6.74286,-0.0428571,0.059102,-0.725138,0.470819,0.901511,46
"English","notice","Active",70,6.77143,6.81429,0.0428571,0.059102,0.725138,0.470819,0.901511,47
"English","please","Active",70,6.47143,6.51429,0.0428571,0.0873718,0.490514,0.625326,0.911034,48
"English","recognize","Active",70,6.91429,6.87143,-0.0428571,0.0428571,-1,0.320805,0.901511,49
"English","see","Active",70,6.78571,6.82857,0.0428571,0.062507,0.685637,0.495239,0.901511,50
"English","bite","Active",70,6.6,6.57143,-0.0285714,0.109528,-0.260859,0.794978,0.939974,51
"English","disturb","Active",70,6.7,6.72857,0.0285714,0.109528,0.260859,0.794978,0.939974,52
"English","kiss","Active",70,6.85714,6.88571,0.0285714,0.0704068,0.405805,0.686141,0.914855,53
"English","like","Active",70,6.84286,6.81429,-0.0285714,0.0704068,-0.405805,0.686141,0.914855,54
"English","lookat","Active",70,6.77143,6.74286,-0.0285714,0.064257,-0.444643,0.657969,0.911034,55
"English","overhear","Active",70,6.75714,6.78571,0.0285714,0.0574526,0.497305,0.620555,0.911034,56
"English","pull","Active",70,6.51429,6.54286,0.0285714,0.111403,0.25647,0.798351,0.939974,57
"English","amaze","Active",70,6.55714,6.57143,0.0142857,0.0986301,0.144841,0.885258,0.939974,58
"English","dislike","Active",70,6.8,6.81429,0.0142857,0.0875071,0.163252,0.870797,0.939974,59
"English","eat","Active",70,5.95714,5.97143,0.0142857,0.114195,0.125099,0.900809,0.939974,60
"English","hate","Active",70,6.81429,6.8,-0.0142857,0.089842,-0.159009,0.874126,0.939974,61
"English","help","Active",70,6.87143,6.85714,-0.0142857,0.0431323,-0.331207,0.741492,0.939974,62
"English","ignore","Active",70,6.82857,6.81429,-0.0142857,0.0800953,-0.178359,0.858964,0.939974,63
"English","shake","Active",70,6.74286,6.72857,-0.0142857,0.106697,-0.133891,0.893879,0.939974,64
"English","surprise","Active",70,6.75714,6.77143,0.0142857,0.0689851,0.207084,0.836554,0.939974,65
"English","tease","Active",70,6.71429,6.7,-0.0142857,0.0943384,-0.151431,0.880078,0.939974,66
"English","trust","Active",70,6.82857,6.81429,-0.0142857,0.0774673,-0.18441,0.854233,0.939974,67
"English","understand","Active",70,6.68571,6.7,0.0142857,0.104738,0.136394,0.891907,0.939974,68
"English","watch","Active",70,6.81429,6.82857,0.0142857,0.0943384,0.151431,0.880078,0.939974,69
"English","distract","Active",70,6.82857,6.82857,0,0.0733691,0,1,1,70
"English","irritate","Active",70,6.77143,6.77143,0,0.10376,0,1,1,71
"English","worry","Active",70,6.14286,6.14286,0,0.125439,0,1,1,72
"English","fear","Active_minus_Passive",70,NA,NA,-0.457143,0.190549,-2.39909,0.0191421,0.45941,1
"English","miss","Active_minus_Passive",70,NA,NA,-0.414286,0.198851,-2.0834,0.0409213,0.503625,2
"English","recognize","Active_minus_Passive",70,NA,NA,-0.385714,0.171816,-2.24492,0.0279814,0.503625,3
"English","remember","Active_minus_Passive",70,NA,NA,-0.385714,0.19549,-1.97306,0.052496,0.539959,4
"English","squash","Active_minus_Passive",70,NA,NA,0.385714,0.130761,2.94976,0.00433936,0.312434,5
"English","know","Active_minus_Passive",70,NA,NA,-0.371429,0.14698,-2.52707,0.0137976,0.45941,6
"English","amaze","Active_minus_Passive",70,NA,NA,-0.314286,0.151655,-2.07238,0.0419687,0.503625,7
"English","frighten","Active_minus_Passive",70,NA,NA,-0.271429,0.172572,-1.57284,0.12033,0.787615,8
"English","smell","Active_minus_Passive",70,NA,NA,-0.271429,0.201363,-1.34795,0.182082,0.894856,9
"English","lookat","Active_minus_Passive",70,NA,NA,-0.257143,0.155886,-1.64956,0.10358,0.745773,10
"English","cut","Active_minus_Passive",70,NA,NA,0.242857,0.143074,1.69742,0.094124,0.745773,11
"English","forget","Active_minus_Passive",70,NA,NA,-0.242857,0.16586,-1.46423,0.147673,0.817882,12
"English","help","Active_minus_Passive",70,NA,NA,0.242857,0.135646,1.79037,0.0777809,0.700028,13
"English","avoid","Active_minus_Passive",70,NA,NA,0.214286,0.207412,1.03314,0.305146,0.948631,14
"English","push","Active_minus_Passive",70,NA,NA,-0.214286,0.165181,-1.29728,0.198857,0.894856,15
"English","listento","Active_minus_Passive",70,NA,NA,0.2,0.169764,1.1781,0.242802,0.948631,16
"English","notice","Active_minus_Passive",70,NA,NA,-0.2,0.134365,-1.48849,0.141179,0.817882,17
"English","kick","Active_minus_Passive",70,NA,NA,0.185714,0.165682,1.12091,0.266213,0.948631,18
"English","pull","Active_minus_Passive",70,NA,NA,0.185714,0.139939,1.32711,0.188848,0.894856,19
"English","believe","Active_minus_Passive",70,NA,NA,-0.157143,0.212094,-0.740912,0.461261,0.948631,20
"English","startle","Active_minus_Passive",70,NA,NA,0.157143,0.164859,0.953198,0.343817,0.948631,21
"English","bite","Active_minus_Passive",70,NA,NA,-0.142857,0.144299,-0.990007,0.32563,0.948631,22
"English","cheerup","Active_minus_Passive",70,NA,NA,-0.142857,0.181192,-0.78843,0.433146,0.948631,23
"English","dislike","Active_minus_Passive",70,NA,NA,-0.142857,0.168154,-0.849563,0.398506,0.948631,24
"English","teach","Active_minus_Passive",70,NA,NA,-0.142857,0.160596,-0.889542,0.376803,0.948631,25
"English","anger","Active_minus_Passive",70,NA,NA,0.114286,0.203024,0.562918,0.575315,0.948631,26
"English","call","Active_minus_Passive",70,NA,NA,-0.114286,0.176863,-0.64618,0.520306,0.948631,27
"English","calm","Active_minus_Passive",70,NA,NA,-0.114286,0.140309,-0.814531,0.418143,0.948631,28
"English","entertain","Active_minus_Passive",70,NA,NA,-0.114286,0.0966153,-1.18289,0.240911,0.948631,29
"English","hear","Active_minus_Passive",70,NA,NA,0.114286,0.110603,1.03329,0.305074,0.948631,30
"English","shock","Active_minus_Passive",70,NA,NA,0.114286,0.155696,0.73403,0.465418,0.948631,31
"English","trust","Active_minus_Passive",70,NA,NA,-0.114286,0.146092,-0.782287,0.436722,0.948631,32
"English","worry","Active_minus_Passive",70,NA,NA,0.114286,0.230709,0.495366,0.621915,0.948631,33
"English","disgust","Active_minus_Passive",70,NA,NA,-0.1,0.156502,-0.638971,0.524957,0.948631,34
"English","like","Active_minus_Passive",70,NA,NA,0.1,0.14695,0.680505,0.498462,0.948631,35
"English","see","Active_minus_Passive",70,NA,NA,0.1,0.14266,0.700966,0.485682,0.948631,36
"English","spot","Active_minus_Passive",70,NA,NA,-0.1,0.17989,-0.555897,0.58008,0.948631,37
"English","wash","Active_minus_Passive",70,NA,NA,-0.1,0.181037,-0.552374,0.582477,0.948631,38
"English","carry","Active_minus_Passive",70,NA,NA,0.0857143,0.158595,0.540461,0.59062,0.948631,39
"English","kiss","Active_minus_Passive",70,NA,NA,0.0857143,0.118204,0.725138,0.470819,0.948631,40
"English","scare","Active_minus_Passive",70,NA,NA,0.0857143,0.110977,0.772361,0.442538,0.948631,41
"English","tease","Active_minus_Passive",70,NA,NA,-0.0857143,0.155962,-0.549584,0.584379,0.948631,42
"English","understand","Active_minus_Passive",70,NA,NA,-0.0857143,0.154629,-0.554323,0.58115,0.948631,43
"English","annoy","Active_minus_Passive",70,NA,NA,0.0714286,0.141453,0.504964,0.615193,0.948631,44
"English","distract","Active_minus_Passive",70,NA,NA,0.0714286,0.0982696,0.726864,0.469768,0.948631,45
"English","surprise","Active_minus_Passive",70,NA,NA,0.0714286,0.104399,0.684189,0.496148,0.948631,46
"English","amuse","Active_minus_Passive",70,NA,NA,-0.0571429,0.145157,-0.393661,0.695045,0.948631,47
"English","dress","Active_minus_Passive",70,NA,NA,-0.0571429,0.200296,-0.285293,0.776275,0.948631,48
"English","hit","Active_minus_Passive",70,NA,NA,0.0571429,0.134804,0.423896,0.672961,0.948631,49
"English","hold","Active_minus_Passive",70,NA,NA,-0.0571429,0.145157,-0.393661,0.695045,0.948631,50
"English","lead","Active_minus_Passive",70,NA,NA,-0.0571429,0.128514,-0.444643,0.657969,0.948631,51
"English","disturb","Active_minus_Passive",70,NA,NA,0.0428571,0.158193,0.270916,0.787264,0.948631,52
"English","eat","Active_minus_Passive",70,NA,NA,0.0428571,0.204945,0.209116,0.834974,0.948631,53
"English","hug","Active_minus_Passive",70,NA,NA,-0.0428571,0.129397,-0.331207,0.741492,0.948631,54
"English","impress","Active_minus_Passive",70,NA,NA,0.0428571,0.154217,0.277901,0.781919,0.948631,55
"English","shake","Active_minus_Passive",70,NA,NA,0.0428571,0.155554,0.275513,0.783745,0.948631,56
"English","terrify","Active_minus_Passive",70,NA,NA,-0.0428571,0.189186,-0.226535,0.821455,0.948631,57
"English","admire","Active_minus_Passive",70,NA,NA,0.0285714,0.16528,0.172867,0.863262,0.948631,58
"English","bother","Active_minus_Passive",70,NA,NA,-0.0285714,0.152239,-0.187675,0.851682,0.948631,59
"English","chase","Active_minus_Passive",70,NA,NA,0.0285714,0.12373,0.230918,0.818062,0.948631,60
"English","drop","Active_minus_Passive",70,NA,NA,0.0285714,0.139463,0.204868,0.838279,0.948631,61
"English","hate","Active_minus_Passive",70,NA,NA,0.0285714,0.116845,0.244524,0.807551,0.948631,62
"English","overhear","Active_minus_Passive",70,NA,NA,-0.0285714,0.14528,-0.196665,0.844668,0.948631,63
"English","please","Active_minus_Passive",70,NA,NA,0.0285714,0.158893,0.179816,0.857824,0.948631,64
"English","watch","Active_minus_Passive",70,NA,NA,-0.0285714,0.185356,-0.154144,0.877946,0.948631,65
"English","follow","Active_minus_Passive",70,NA,NA,-0.0142857,0.112367,-0.127134,0.899204,0.952099,66
"English","ignore","Active_minus_Passive",70,NA,NA,0.0142857,0.17085,0.0836157,0.933604,0.960278,67
"English","irritate","Active_minus_Passive",70,NA,NA,-0.0142857,0.164679,-0.0867488,0.931122,0.960278,68
"English","love","Active_minus_Passive",70,NA,NA,0.0142857,0.0965081,0.148026,0.882754,0.948631,69
"English","upset","Active_minus_Passive",70,NA,NA,-0.0142857,0.0965081,-0.148026,0.882754,0.948631,70
"English","pat","Active_minus_Passive",70,NA,NA,0,0.172666,0,1,1,71
"English","sadden","Active_minus_Passive",70,NA,NA,0,0.19518,0,1,1,72
"English","fear","All",210,5.95238,6.10476,0.152381,0.0822784,1.85202,0.0654339,0.591531,1
"English","entertain","All",210,6.22381,6.08095,-0.142857,0.0614465,-2.3249,0.0210369,0.581694,2
"English","wash","All",210,5.84286,5.98571,0.142857,0.0772202,1.85,0.0657256,0.591531,3
"English","pat","All",210,5.72857,5.86667,0.138095,0.0683422,2.02064,0.0445926,0.581694,4
"English","hold","All",210,6.09048,5.95714,-0.133333,0.0647949,-2.05778,0.0408526,0.581694,5
"English","trust","All",210,6.04762,6.18095,0.133333,0.0665298,2.00411,0.0463487,0.581694,6
"English","notice","All",210,6.03333,6.1619,0.128571,0.0643117,1.99919,0.0468827,0.581694,7
"English","squash","All",210,6.11429,5.99048,-0.12381,0.0623788,-1.9848,0.0484745,0.581694,8
"English","dress","All",210,5.98571,6.1,0.114286,0.0744475,1.53512,0.126267,0.826476,9
"English","recognize","All",210,6.14286,6.25238,0.109524,0.0679218,1.6125,0.108363,0.78021,10
"English","eat","All",210,5.37143,5.47143,0.1,0.0860383,1.16227,0.24645,0.95782,11
"English","hate","All",210,6.2381,6.1381,-0.1,0.05979,-1.67252,0.0959181,0.767345,12
"English","understand","All",210,5.92857,6.02857,0.1,0.0750028,1.33328,0.18389,0.95782,13
"English","lookat","All",210,5.87143,5.96667,0.0952381,0.0647647,1.47052,0.142924,0.857542,14
"English","disgust","All",210,6.04286,5.95714,-0.0857143,0.075239,-1.13923,0.255913,0.95782,15
"English","terrify","All",210,6.14286,6.05714,-0.0857143,0.0796519,-1.07611,0.283119,0.95782,16
"English","upset","All",210,6.18571,6.10476,-0.0809524,0.06573,-1.23159,0.219486,0.95782,17
"English","hit","All",210,6.1,6.17619,0.0761905,0.062743,1.21433,0.225993,0.95782,18
"English","like","All",210,6.31905,6.24286,-0.0761905,0.0725132,-1.05071,0.294604,0.95782,19
"English","surprise","All",210,6.18095,6.25238,0.0714286,0.062951,1.13467,0.257814,0.95782,20
"English","chase","All",210,6.30476,6.2381,-0.0666667,0.0638741,-1.04372,0.297821,0.95782,21
"English","know","All",210,6.04762,6.11429,0.0666667,0.0768286,0.867732,0.386536,0.95782,22
"English","listento","All",210,5.97143,6.0381,0.0666667,0.0782974,0.851455,0.395491,0.95782,23
"English","watch","All",210,6.06667,6.13333,0.0666667,0.0768286,0.867732,0.386536,0.95782,24
"English","distract","All",210,6.26667,6.20476,-0.0619048,0.0588868,-1.05125,0.294357,0.95782,25
"English","amaze","All",210,6.17143,6.22857,0.0571429,0.0690584,0.827457,0.408922,0.95782,26
"English","carry","All",210,6.14762,6.09048,-0.0571429,0.0719665,-0.79402,0.428084,0.95782,27
"English","miss","All",210,5.98095,6.0381,0.0571429,0.0797744,0.716305,0.474602,0.95782,28
"English","scare","All",210,6.22857,6.28571,0.0571429,0.0617424,0.925504,0.355771,0.95782,29
"English","admire","All",210,6.19524,6.24762,0.052381,0.0733944,0.713692,0.476214,0.95782,30
"English","bother","All",210,5.97143,6.02381,0.052381,0.0641157,0.816976,0.414872,0.95782,31
"English","spot","All",210,6.19524,6.14286,-0.052381,0.0835562,-0.626895,0.531412,0.95782,32
"English","anger","All",210,5.93333,5.98095,0.047619,0.0792313,0.601013,0.548483,0.95782,33
"English","kick","All",210,6.14286,6.09524,-0.047619,0.0763015,-0.624091,0.533249,0.95782,34
"English","remember","All",210,5.9619,6.00952,0.047619,0.0765995,0.621663,0.534841,0.95782,35
"English","drop","All",210,6.08095,6.0381,-0.0428571,0.0637933,-0.671812,0.502445,0.95782,36
"English","follow","All",210,6.30476,6.2619,-0.0428571,0.0712186,-0.601769,0.54798,0.95782,37
"English","hear","All",210,6.21905,6.17619,-0.0428571,0.064856,-0.660805,0.509465,0.95782,38
"English","calm","All",210,5.97143,5.93333,-0.0380952,0.0621802,-0.612659,0.540768,0.95782,39
"English","dislike","All",210,6.10476,6.14286,0.0380952,0.067453,0.564767,0.572838,0.95782,40
"English","forget","All",210,5.8619,5.9,0.0380952,0.0687908,0.553784,0.580319,0.95782,41
"English","cut","All",210,6.01905,6.05238,0.0333333,0.0623762,0.534392,0.593638,0.95782,42
"English","kiss","All",210,6.25714,6.22381,-0.0333333,0.0627404,-0.53129,0.595782,0.95782,43
"English","startle","All",210,6.18095,6.21429,0.0333333,0.068968,0.483316,0.629377,0.95782,44
"English","worry","All",210,5.57619,5.54286,-0.0333333,0.090914,-0.366647,0.714253,0.95782,45
"English","help","All",210,6.21429,6.18571,-0.0285714,0.0632939,-0.451409,0.652163,0.95782,46
"English","lead","All",210,6.22381,6.19524,-0.0285714,0.0664548,-0.429938,0.667684,0.95782,47
"English","teach","All",210,6.19524,6.16667,-0.0285714,0.0729904,-0.391441,0.69587,0.95782,48
"English","overhear","All",210,6.22381,6.2,-0.0238095,0.0652529,-0.364881,0.715569,0.95782,49
"English","tease","All",210,6.06667,6.09048,0.0238095,0.0702956,0.338706,0.735171,0.95782,50
"English","call","All",210,6.0619,6.04286,-0.0190476,0.0701403,-0.271565,0.786225,0.95782,51
"English","frighten","All",210,6.19524,6.17619,-0.0190476,0.0691589,-0.275418,0.783267,0.95782,52
"English","ignore","All",210,6.1,6.11905,0.0190476,0.0678283,0.280821,0.779125,0.95782,53
"English","sadden","All",210,5.5619,5.54286,-0.0190476,0.078712,-0.241991,0.809024,0.95782,54
"English","smell","All",210,5.32381,5.30476,-0.0190476,0.0856434,-0.222406,0.824215,0.95782,55
"English","bite","All",210,5.99524,5.98095,-0.0142857,0.0699831,-0.204131,0.83845,0.95782,56
"English","cheerup","All",210,6.03333,6.01905,-0.0142857,0.0722261,-0.197792,0.8434,0.95782,57
"English","love","All",210,6.37619,6.39048,0.0142857,0.0620448,0.230248,0.818124,0.95782,58
"English","please","All",210,5.95238,5.9381,-0.0142857,0.0715924,-0.199542,0.842033,0.95782,59
"English","push","All",210,6.18571,6.17143,-0.0142857,0.0689995,-0.207041,0.836179,0.95782,60
"English","see","All",210,6.17619,6.1619,-0.0142857,0.0676658,-0.211122,0.832998,0.95782,61
"English","shake","All",210,6.07143,6.05714,-0.0142857,0.0689995,-0.207041,0.836179,0.95782,62
"English","shock","All",210,6.1,6.08571,-0.0142857,0.0673282,-0.21218,0.832173,0.95782,63
"English","annoy","All",210,6.21905,6.22857,0.00952381,0.0564744,0.168639,0.866243,0.95782,64
"English","avoid","All",210,5.8,5.80952,0.00952381,0.0834958,0.114063,0.909297,0.95782,65
"English","impress","All",210,6.34286,6.35238,0.00952381,0.0654446,0.145525,0.884437,0.95782,66
"English","amuse","All",210,6.15238,6.15714,0.0047619,0.0666545,0.0714417,0.943115,0.95782,67
"English","disturb","All",210,6.1381,6.13333,-0.0047619,0.0669954,-0.0710781,0.943404,0.95782,68
"English","hug","All",210,6.17619,6.18095,0.0047619,0.0624179,0.0762907,0.939261,0.95782,69
"English","irritate","All",210,6.17143,6.17619,0.0047619,0.0683422,0.0696773,0.944517,0.95782,70
"English","pull","All",210,6.00476,6.00952,0.0047619,0.0620518,0.0767408,0.938903,0.95782,71
"English","believe","All",210,5.87619,5.87619,0,0.0856535,0,1,1,72
"English","fear","Passive",70,5.92857,6.31429,0.385714,0.130761,2.94976,0.00433936,0.104145,1
"English","recognize","Passive",70,6.11429,6.45714,0.342857,0.158781,2.15931,0.0343053,0.411664,2
"English","wash","Passive",70,5.87143,6.21429,0.342857,0.131697,2.60339,0.0112921,0.203259,3
"English","amaze","Passive",70,6.48571,6.81429,0.328571,0.107139,3.06677,0.00308929,0.104145,4
"English","know","Passive",70,5.84286,6.17143,0.328571,0.143487,2.2899,0.0250897,0.361292,5
"English","squash","Passive",70,6.45714,6.14286,-0.314286,0.104837,-2.99785,0.00377756,0.104145,6
"English","help","Passive",70,6.42857,6.17143,-0.257143,0.131382,-1.95722,0.0543683,0.496515,7
"English","miss","Passive",70,5.78571,6.04286,0.257143,0.154552,1.66379,0.10069,0.65906,8
"English","notice","Passive",70,6.04286,6.28571,0.242857,0.124504,1.95059,0.0551684,0.496515,9
"English","lookat","Passive",70,5.68571,5.91429,0.228571,0.122384,1.86766,0.066057,0.528456,10
"English","remember","Passive",70,5.6,5.82857,0.228571,0.160449,1.42457,0.158788,0.879439,11
"English","pat","Passive",70,5.82857,6,0.171429,0.14094,1.21633,0.228005,0.959653,12
"English","dislike","Passive",70,6.01429,6.17143,0.157143,0.135951,1.15588,0.251718,0.959653,13
"English","pull","Passive",70,6.4,6.24286,-0.157143,0.0924381,-1.69998,0.0936389,0.65906,14
"English","push","Passive",70,6.47143,6.61429,0.142857,0.117401,1.21683,0.227813,0.959653,15
"English","avoid","Passive",70,5.45714,5.32857,-0.128571,0.179626,-0.715772,0.476548,0.959653,16
"English","carry","Passive",70,6.47143,6.34286,-0.128571,0.128571,-1,0.320805,0.959653,17
"English","chase","Passive",70,6.68571,6.55714,-0.128571,0.101585,-1.26566,0.209892,0.959653,18
"English","cut","Passive",70,6.35714,6.22857,-0.128571,0.131753,-0.975854,0.332546,0.959653,19
"English","kick","Passive",70,6.37143,6.24286,-0.128571,0.136386,-0.942706,0.34912,0.959653,20
"English","like","Passive",70,6.44286,6.31429,-0.128571,0.139389,-0.922396,0.359536,0.959653,21
"English","sadden","Passive",70,6.18571,6.05714,-0.128571,0.133315,-0.964419,0.338204,0.959653,22
"English","bite","Passive",70,6.12857,6.24286,0.114286,0.108715,1.05124,0.296816,0.959653,23
"English","dress","Passive",70,6.31429,6.42857,0.114286,0.154361,0.74038,0.461581,0.959653,24
"English","entertain","Passive",70,6.61429,6.5,-0.114286,0.0802245,-1.42457,0.158788,0.879439,25
"English","follow","Passive",70,6.71429,6.6,-0.114286,0.117853,-0.969729,0.335569,0.959653,26
"English","smell","Passive",70,4.88571,5,0.114286,0.17091,0.668689,0.505925,0.959653,27
"English","worry","Passive",70,5.9,5.78571,-0.114286,0.183753,-0.621953,0.536023,0.959653,28
"English","believe","Passive",70,5.61429,5.71429,0.1,0.170434,0.586739,0.559294,0.959653,29
"English","drop","Passive",70,6.27143,6.17143,-0.1,0.118915,-0.840937,0.403288,0.959653,30
"English","hold","Passive",70,6.42857,6.32857,-0.1,0.113572,-0.8805,0.381645,0.959653,31
"English","listento","Passive",70,5.98571,5.88571,-0.1,0.160421,-0.623359,0.535104,0.959653,32
"English","trust","Passive",70,6.01429,6.11429,0.1,0.124028,0.806268,0.422859,0.959653,33
"English","understand","Passive",70,5.98571,6.08571,0.1,0.111734,0.894983,0.373908,0.959653,34
"English","bother","Passive",70,6.24286,6.32857,0.0857143,0.0948855,0.903345,0.369486,0.959653,35
"English","forget","Passive",70,5.94286,6.02857,0.0857143,0.110977,0.772361,0.442538,0.959653,36
"English","frighten","Passive",70,6.52857,6.61429,0.0857143,0.125014,0.685637,0.495239,0.959653,37
"English","distract","Passive",70,6.68571,6.61429,-0.0714286,0.0846902,-0.84341,0.401914,0.959653,38
"English","love","Passive",70,6.57143,6.5,-0.0714286,0.110188,-0.648243,0.518979,0.959653,39
"English","tease","Passive",70,6.34286,6.41429,0.0714286,0.129214,0.552793,0.582192,0.959653,40
"English","anger","Passive",70,6.14286,6.2,0.0571429,0.137842,0.414555,0.679754,0.959653,41
"English","kiss","Passive",70,6.48571,6.42857,-0.0571429,0.0929964,-0.614463,0.54093,0.959653,42
"English","overhear","Passive",70,6.38571,6.44286,0.0571429,0.134804,0.423896,0.672961,0.959653,43
"English","see","Passive",70,6.27143,6.21429,-0.0571429,0.126893,-0.450324,0.653888,0.959653,44
"English","shake","Passive",70,6.27143,6.21429,-0.0571429,0.105512,-0.541576,0.589855,0.959653,45
"English","surprise","Passive",70,6.62857,6.57143,-0.0571429,0.109366,-0.522491,0.603002,0.959653,46
"English","terrify","Passive",70,6.51429,6.45714,-0.0571429,0.12525,-0.456229,0.649658,0.959653,47
"English","upset","Passive",70,6.44286,6.38571,-0.0571429,0.107456,-0.531777,0.596588,0.959653,48
"English","disgust","Passive",70,6.6,6.55714,-0.0428571,0.0963854,-0.444643,0.657969,0.959653,49
"English","hate","Passive",70,6.41429,6.37143,-0.0428571,0.0919891,-0.465894,0.642759,0.959653,50
"English","scare","Passive",70,6.47143,6.51429,0.0428571,0.0873718,0.490514,0.625326,0.959653,51
"English","watch","Passive",70,6.1,6.14286,0.0428571,0.155554,0.275513,0.783745,0.993503,52
"English","admire","Passive",70,6.42857,6.45714,0.0285714,0.142401,0.200641,0.84157,0.993503,53
"English","calm","Passive",70,6.28571,6.31429,0.0285714,0.0975294,0.292952,0.770438,0.993503,54
"English","cheerup","Passive",70,6.38571,6.41429,0.0285714,0.131831,0.216727,0.82906,0.993503,55
"English","eat","Passive",70,5.65714,5.62857,-0.0285714,0.176193,-0.16216,0.871654,0.993503,56
"English","hug","Passive",70,6.37143,6.34286,-0.0285714,0.103703,-0.275513,0.783745,0.993503,57
"English","ignore","Passive",70,6.28571,6.25714,-0.0285714,0.133392,-0.214191,0.83103,0.993503,58
