"language","Verb","S_Type","n","mean_man","mean_woman","woman_minus_man","se","t","p","p_bh","rank_abs_diff"
"English","wash","Active",70,6.38571,6.62857,0.242857,0.119411,2.03378,0.0458205,0.788941,1
"English","entertain","Active",70,6.84286,6.61429,-0.228571,0.0867433,-2.63503,0.0103802,0.629596,2
"English","frighten","Active",70,6.9,6.71429,-0.185714,0.108238,-1.7158,0.0906868,0.788941,3
"English","anger","Active",70,6.35714,6.52857,0.171429,0.122045,1.40463,0.164616,0.788941,4
"English","pat","Active",70,6.3,6.47143,0.171429,0.0704068,2.43483,0.0174888,0.629596,5
"English","forget","Active",70,6.57143,6.41429,-0.157143,0.11263,-1.39521,0.167428,0.788941,6
"English","hold","Active",70,6.7,6.54286,-0.157143,0.0924381,-1.69998,0.0936389,0.788941,7
"English","miss","Active",70,6.82857,6.67143,-0.157143,0.118016,-1.33154,0.187395,0.788941,8
"English","remember","Active",70,6.81429,6.65714,-0.157143,0.0854551,-1.83889,0.070234,0.788941,9
"English","smell","Active",70,5.95714,5.8,-0.157143,0.138964,-1.13082,0.262046,0.891933,10
"English","startle","Active",70,6.62857,6.78571,0.157143,0.118016,1.33154,0.187395,0.788941,11
"English","disgust","Active",70,6.52857,6.38571,-0.142857,0.129157,-1.10608,0.272535,0.891933,12
"English","follow","Active",70,6.92857,6.8,-0.128571,0.0861445,-1.49251,0.140124,0.788941,13
"English","sadden","Active",70,5.74286,5.61429,-0.128571,0.149425,-0.860443,0.392525,0.901511,14
"English","scare","Active",70,6.75714,6.88571,0.128571,0.0811956,1.58348,0.117886,0.788941,15
"English","call","Active",70,6.77143,6.65714,-0.114286,0.0899571,-1.27045,0.208193,0.788941,16
"English","cheerup","Active",70,6.52857,6.41429,-0.114286,0.121316,-0.942051,0.349453,0.901511,17
"English","cut","Active",70,6.58571,6.7,0.114286,0.0594762,1.92154,0.0587951,0.788941,18
"English","hear","Active",70,6.67143,6.78571,0.114286,0.0852298,1.34091,0.184347,0.788941,19
