"language","step","structure","formula","full_singular","probe_singular","se_h1b_full","se_h1b_probe","se_h1a_full","se_h1a_probe","secs","selected","note"
"English",1,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Response ~ S_Type * Semantics_scaled + (1 + Act + PP + Sem + ActSem + PPSem | Participant) + (1 + Act + PP | Verb)",FALSE,FALSE,0.076271,0.083001,0.0789163,0.083285,340.29,TRUE,"non-singular on full and probe"
"Turkish",1,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Response ~ S_Type * Semantics_scaled + (1 + Act + PP + Sem + ActSem + PPSem | Participant) + (1 + Act + PP | Verb)",TRUE,NA,0.0426211,NA,0.0668865,NA,197.53,FALSE,""
"Turkish",2,"P[zcp:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Response ~ S_Type * Semantics_scaled + (1 | Participant) + (0 + Act | Participant) + (0 + PP | Participant) + (0 + Sem | Participant) + (0 + ActSem | Participant) + (0 + PPSem | Participant) + (1 + Act + PP | Verb)",TRUE,NA,0.0403916,NA,0.0654436,NA,59.64,FALSE,""
"Turkish",3,"P[zcp:1,Act,PP,Sem,PPSem] V[corr:1,Act,PP]","Response ~ S_Type * Semantics_scaled + (1 | Participant) + (0 + Act | Participant) + (0 + PP | Participant) + (0 + Sem | Participant) + (0 + PPSem | Participant) + (1 + Act + PP | Verb)",FALSE,TRUE,0.0403927,0.0419932,0.0654505,0.0660268,103.81,FALSE,""
"Turkish",4,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","Response ~ S_Type * Semantics_scaled + (1 | Participant) + (0 + Act | Participant) + (0 + PP | Participant) + (0 + Sem | Participant) + (0 + PPSem | Participant) + (1 | Verb) + (0 + Act | Verb) + (0 + PP | Verb)",FALSE,FALSE,0.0340496,0.0308907,0.0589731,0.054874,48.76,TRUE,"non-singular on full and probe"
"Norwegian",1,"P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","Response ~ S_Type * Semantics_scaled + (1 + Act + Sem + ActSem | Participant) + (1 + Act | Verb)",FALSE,TRUE,0.0660232,0.0663295,0.104076,0.101048,30.31,FALSE,""
"Norwegian",2,"P[zcp:1,Act,Sem,ActSem] V[corr:1,Act]","Response ~ S_Type * Semantics_scaled + (1 | Participant) + (0 + Act | Participant) + (0 + Sem | Participant) + (0 + ActSem | Participant) + (1 + Act | Verb)",FALSE,TRUE,0.0622357,0.0622545,0.10114,0.0978131,11.67,FALSE,""
"Norwegian",3,"P[zcp:1,Act,Sem] V[corr:1,Act]","Response ~ S_Type * Semantics_scaled + (1 | Participant) + (0 + Act | Participant) + (0 + Sem | Participant) + (1 + Act | Verb)",FALSE,FALSE,0.0588418,0.0622469,0.100745,0.0977983,13.63,TRUE,"non-singular on full and probe"
