"population","rho","K","mode","n_reps","se_lang","shared_verb_sd","prior_tau_scale","design_tau_prior_scale","bf_threshold","power","mcse","power_lo","power_hi","mean_z","sd_z","median_bf","mean_tau_hat","p_wrong_sign","seed"
"claps_protocol",0.164,3,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.5825,0.007797335282005,0.567036829669658,0.597842533319514,1.26589611143961,0.752024928745466,12.798933997598,0.28583625,0.0745,4101
"claps_protocol",0.164,6,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.81,0.0062028219384406,0.797492959519059,0.82205249980489,2.20011504658045,1.14499599945182,142.876648147213,0.23076625,0.056,4102
"claps_protocol",0.164,8,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.844,0.00573724672643595,0.832379587846962,0.855115474485435,2.62017594843966,1.32589849205685,579.969327028901,0.22159875,0.053,4103
"claps_protocol",0.164,10,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.868,0.00535200896860235,0.857116147078977,0.878343129392403,2.99066754247088,1.49932072804968,2082.47852214057,0.2167325,0.05125,4104
"claps_protocol",0.164,12,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.87575,0.00521564803020679,0.865127383897109,0.885820283509712,3.32016452744222,1.63922528855825,8022.22559426395,0.215195,0.05025,4105
"claps_protocol",0.164,16,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.89875,0.00476965505828252,0.88898341656551,0.907929580030602,3.91983005582977,1.9057690625883,142420.324560289,0.209555,0.04975,4106
"claps_protocol",0.164,20,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.9045,0.0046470353452497,0.894969158201328,0.913435104193205,4.40759084520129,2.05619616676798,1765285.77882365,0.2120125,0.042,4107
"seven",0.164,3,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.3375,0.00747652576401633,0.322844385174069,0.352393341618223,0.912933427231567,0.827037881343817,5.58527984477662,0.488645,0.1465,4101
"seven",0.164,6,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.5815,0.00779996394222435,0.566032412190011,0.5968484134932,1.4040348096762,1.04360985351003,14.8493417342758,0.448905,0.1035,4102
"seven",0.164,8,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.641,0.00758483684728947,0.625910252013532,0.655883506929509,1.62008818766089,1.14480291979157,24.469013023573,0.4410375,0.09575,4103
"seven",0.164,10,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.698,0.00725940768933664,0.683505909696871,0.712204333338402,1.8656051710835,1.23490616674925,42.3217354188796,0.4326825,0.08375,4104
"seven",0.164,12,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.73625,0.00696753072293191,0.722299527102144,0.749854574964056,2.06863271111003,1.32568518835455,73.229548685393,0.4265075,0.0765,4105
"seven",0.164,16,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.77525,0.00659995146762459,0.761990792131561,0.788105942871145,2.39202370340856,1.48896309239113,194.950188041934,0.42455875,0.071,4106
"seven",0.164,20,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.816,0.00612666303953465,0.803637681974728,0.827898903184729,2.73814527767575,1.59081808712175,551.014954355047,0.419665,0.063,4107
"glossa_protocol",0.164,3,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.316,0.00735091830998005,0.301606163493561,0.330663067360261,0.739977882605444,1.04430551422661,4.4463739463529,0.61548125,0.2335,4101
"glossa_protocol",0.164,6,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.48975,0.00790403279187277,0.474145649507981,0.505369336574256,1.14624592039318,1.24453530479957,9.2701611528254,0.60080625,0.1925,4102
"glossa_protocol",0.164,8,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.546,0.00787216615678302,0.530416945991534,0.561515796537778,1.32133884872068,1.38686641727874,13.8504545828729,0.587155,0.17225,4103
"glossa_protocol",0.164,10,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.5905,0.00777511655861184,0.575074498972191,0.605793161859809,1.52051283868313,1.49321083008396,21.7136922688547,0.58143,0.164,4104
"glossa_protocol",0.164,12,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.625,0.00765465544619743,0.609785208284652,0.640031972126372,1.66363548239641,1.60881445710758,31.3184783936804,0.58128625,0.1645,4105
"glossa_protocol",0.164,16,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.65325,0.00752519829472951,0.638268097595451,0.668007723826347,1.90164799863508,1.8346710502997,59.0726904814061,0.5818975,0.16075,4106
"glossa_protocol",0.164,20,"assurance",4000,0.083300784938338,0.0299701168376013,1.1,0.5,10,0.6835,0.00735404225579375,0.668831180256995,0.697900321780131,2.17505432475801,2.03176086853271,141.285593924797,0.57829125,0.15475,4107
