"language","scheme","structure","hypothesis","term","estimate","se","z","n_participants","n_rows","singular","secs"
"English","C_first_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.274157,0.084228,3.25494,70,15120,TRUE,89.29
"English","first_half_first_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.284003,0.0908032,3.12767,70,11346,TRUE,114.03
"English","full","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.257667,0.0789163,3.26506,70,30240,FALSE,108.61
"English","second_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.241177,0.0754875,3.19492,70,15120,FALSE,119.05
"English","session_first_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.274957,0.0868529,3.16578,70,15119,TRUE,100.77
"English","session_second_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1a","Semantics_scaled",0.246415,0.0735208,3.35163,70,15121,FALSE,85.35
"English","C_first_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.353554,0.0818696,-4.3185,70,15120,TRUE,89.29
"English","first_half_first_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.368819,0.0925457,-3.98527,70,11346,TRUE,114.03
"English","full","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.328298,0.076271,-4.30436,70,30240,FALSE,108.61
"English","second_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.303041,0.0734484,-4.1259,70,15120,FALSE,119.05
"English","session_first_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.351408,0.087977,-3.99432,70,15119,TRUE,100.77
"English","session_second_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.306138,0.0702446,-4.35817,70,15121,FALSE,85.35
"English","C_first_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.459119,0.0840275,-5.46391,70,15120,TRUE,89.29
"English","first_half_first_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.501794,0.0954575,-5.25673,70,11346,TRUE,114.03
