"language","scheme","structure","hypothesis","term","estimate","se","z","n_participants","n_rows","singular","secs"
"English","full","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.41391,0.0797075,-5.19286,70,30240,FALSE,108.61
"English","second_exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.3687,0.0800508,-4.60583,70,15120,FALSE,119.05
"English","session_first_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.483873,0.0939589,-5.14984,70,15119,TRUE,100.77
"English","session_second_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",-0.359169,0.0736602,-4.87603,70,15121,FALSE,85.35
"Norwegian","C_first_exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.188381,0.10451,1.80252,57,7524,FALSE,3.37
"Norwegian","first_half_first_exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.222146,0.107931,2.05822,57,5650,FALSE,2.33
"Norwegian","full","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.172357,0.100745,1.71083,57,15048,FALSE,5.9
"Norwegian","second_exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.156332,0.0990447,1.5784,57,7524,FALSE,3.62
"Norwegian","session_first_half","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.186679,0.105812,1.76426,57,7555,FALSE,2.88
"Norwegian","session_second_half","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.161881,0.10549,1.53456,57,7493,FALSE,2.5
"Norwegian","C_first_exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.29181,0.0663719,-4.39658,57,7524,FALSE,3.37
"Norwegian","first_half_first_exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.335526,0.0731642,-4.58594,57,5650,FALSE,2.33
"Norwegian","full","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.276052,0.0588418,-4.69143,57,15048,FALSE,5.9
"Norwegian","second_exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.260295,0.0597412,-4.35705,57,7524,FALSE,3.62
"Norwegian","session_first_half","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.283027,0.0684455,-4.13508,57,7555,FALSE,2.88
"Norwegian","session_second_half","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.280831,0.0738884,-3.80074,57,7493,FALSE,2.5
"Turkish","C_first_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.187831,0.0642622,2.92288,70,15120,FALSE,19.25
"Turkish","first_half_first_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.211493,0.0688163,3.0733,70,11308,FALSE,12.58
"Turkish","full","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.14385,0.0589731,2.43924,70,30240,FALSE,17.23
"Turkish","second_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.0998683,0.0490249,2.03709,70,15120,FALSE,29.65
"Turkish","session_first_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.20465,0.0654945,3.12469,70,15110,FALSE,17.23
"Turkish","session_second_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1a","Semantics_scaled",0.0790991,0.0498766,1.5859,70,15130,FALSE,23.76
"Turkish","C_first_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.155824,0.0376146,-4.14266,70,15120,FALSE,19.25
"Turkish","first_half_first_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.17092,0.0416769,-4.10106,70,11308,FALSE,12.58
"Turkish","full","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.119237,0.0340496,-3.50185,70,30240,FALSE,17.23
"Turkish","second_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.0826489,0.0296677,-2.78582,70,15120,FALSE,29.65
"Turkish","session_first_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.171853,0.0404315,-4.25048,70,15110,FALSE,17.23
"Turkish","session_second_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h1b","S_TypeActive:Semantics_scaled",-0.0630588,0.0302411,-2.0852,70,15130,FALSE,23.76
"Turkish","C_first_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0815809,0.051643,1.57971,70,15120,FALSE,19.25
"Turkish","first_half_first_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0519485,0.0571966,0.908245,70,11308,FALSE,12.58
"Turkish","full","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0920506,0.0451801,2.03741,70,30240,FALSE,17.23
"Turkish","second_exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.10252,0.039189,2.61605,70,15120,FALSE,29.65
"Turkish","session_first_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.0676402,0.0554065,1.2208,70,15110,FALSE,17.23
"Turkish","session_second_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","h2","S_TypePseudo_Passive:Semantics_scaled",0.112822,0.0428564,2.63257,70,15130,FALSE,23.76
