"source","language","label","se_kind","raw_est","raw_se","sd_x","y","se","lambda_1f","lambda_Z","y_shared","se_shared"
"Glossa2023","Balinese","Balinese (G23)","posterior_sd",0.33,0.13,1.00782625431004,0.332582663922313,0.131017413060305,0.65750623338986,0.631381707747481,0.505824351212062,0.199264138356267
"Glossa2023","English","English (G23)","posterior_sd",-0.54,0.18,1.00693021143684,-0.543742314175896,0.181247438058632,0.969192751009783,0.961206098061349,-0.561025981270889,0.18700866042363
"Glossa2023","Hebrew","Hebrew (G23)","posterior_sd",-0.81,0.2,1.00897487730385,-0.817269650616117,0.20179497546077,0.845824231655329,1,-0.966240526139421,0.238577907688746
"Glossa2023","Indonesian","Indonesian (G23)","posterior_sd",-0.07,0.08,1.00699820427432,-0.0704898742992027,0.0805598563419459,0.84976260979159,0.787968714551619,-0.0829524310518802,0.094802778345006
"Glossa2023","Mandarin","Mandarin (G23)","posterior_sd",-0.8,0.21,1.00885218842765,-0.807081750742122,0.211858959569807,0.895623323670556,0.864370641167639,-0.901139719580367,0.236549176389846
"CLAPS_pilot","English","English (CLAPS)","floor",-0.881574798782625,0.20663074794523,0.503500489697298,-0.443873342891849,0.104038682776942,0.902516631382904,0.863070215124937,-0.491817355444977,0.115276194542284
"CLAPS_pilot","Turkish","Turkish (CLAPS)","floor",-0.288485887308956,0.150175861352492,0.503500489697298,-0.145252785530819,0.0756136197316932,0.924671717032425,0.895247234351583,-0.157085788237346,0.0817734752116806
"CLAPS_pilot","Norwegian","Norwegian (CLAPS)","floor",-0.531483621048625,0.084089409001989,0.503814732565789,-0.26776927840171,0.0423654831079523,0.914698635043138,0.850858138979521,-0.292740437279741,0.0463163292092967
"CLAPS_pilot","English","English (CLAPS)","slope_sd",-0.881574798782625,0.193687928020232,0.503500489697298,-0.443873342891849,0.0975219666066419,0.902516631382904,0.863070215124937,-0.491817355444977,0.10805558946566
"CLAPS_pilot","Turkish","Turkish (CLAPS)","slope_sd",-0.288485887308956,0.155554153719786,0.503500489697298,-0.145252785530819,0.0783215925723613,0.924671717032425,0.895247234351583,-0.157085788237346,0.0847020527714646
"CLAPS_pilot","Norwegian","Norwegian (CLAPS)","slope_sd",-0.531483621048625,0.17812264296744,0.503814732565789,-0.26776927840171,0.0897408117305524,0.914698635043138,0.850858138979521,-0.292740437279741,0.0981097033410573
"CLAPS_pilot","English","English (CLAPS)","calibrated",-0.881574798782625,0.271163099228325,0.503500489697298,-0.443873342891849,0.136530753249299,0.902516631382904,0.863070215124937,-0.491817355444977,0.151277825251925
"CLAPS_pilot","Turkish","Turkish (CLAPS)","calibrated",-0.288485887308956,0.217775815207701,0.503500489697298,-0.145252785530819,0.109650229601306,0.924671717032425,0.895247234351583,-0.157085788237346,0.11858287388005
"CLAPS_pilot","Norwegian","Norwegian (CLAPS)","calibrated",-0.531483621048625,0.249371700154416,0.503814732565789,-0.26776927840171,0.125637136422773,0.914698635043138,0.850858138979521,-0.292740437279741,0.13735358467748
