"source","language","n_participants","n_verbs","n_obs","resp_min","resp_max","resp_levels","scale_note"
"CLAPS_pilot","English",70,72,30240,1,7,7,"7-point ordinal (CLAPS pilot)"
"CLAPS_pilot","Turkish",70,72,30240,1,7,7,"7-point ordinal"
"CLAPS_pilot","Norwegian",57,66,15048,1,7,7,"7-point ordinal"
"Glossa2023","Balinese",60,47,28183,1,10,10,"collected on 10 points; the analysis maps 1..10 -> 1..5 by (5-1)(R-1)/9+1 then rounds"
"Glossa2023","English",40,72,5760,1,5,5,"5-point ordinal"
"Glossa2023","Hebrew",60,56,6720,1,5,5,"5-point ordinal"
"Glossa2023","Indonesian",60,72,25920,1,5,5,"5-point ordinal"
"Glossa2023","Mandarin",60,57,13680,1,5,5,"5-point ordinal"
