"language","scheme","structure","term","modifies","estimate","se","z","p_two_sided","estimate_of_modified_term","n_participants","n_rows","singular"
"Turkish","exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypeActive:Exposure_c","S_TypeActive",0.10377,0.0201442,5.15134,2.58632e-07,0.901488,70,30240,FALSE
"Turkish","exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypeActive:Semantics_scaled:Exposure_c","S_TypeActive:Semantics_scaled",0.0731755,0.0405712,1.80363,0.0712892,-0.119237,70,30240,FALSE
"Turkish","exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypePseudo_Passive:Exposure_c","S_TypePseudo_Passive",0.0384921,0.0201442,1.91082,0.0560274,0.188095,70,30240,FALSE
"Turkish","exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypePseudo_Passive:Semantics_scaled:Exposure_c","S_TypePseudo_Passive:Semantics_scaled",0.0209394,0.0405712,0.516116,0.605774,0.0920506,70,30240,FALSE
"Turkish","exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","Semantics_scaled:Exposure_c","Semantics_scaled",-0.0879627,0.0286882,-3.06617,0.00216823,0.14385,70,30240,FALSE
"Turkish","session_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","Half_c","(Intercept)",-0.165165,0.0401659,-4.11208,3.92103e-05,5.89373,70,30240,FALSE
"Turkish","session_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypeActive:Half_c","S_TypeActive",0.211126,0.0198734,10.6236,2.31484e-26,0.903233,70,30240,FALSE
"Turkish","session_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypeActive:Semantics_scaled:Half_c","S_TypeActive:Semantics_scaled",0.109688,0.0400996,2.73539,0.00623064,-0.115153,70,30240,FALSE
"Turkish","session_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypePseudo_Passive:Half_c","S_TypePseudo_Passive",0.0484489,0.0198998,2.43464,0.0149068,0.192081,70,30240,FALSE
"Turkish","session_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","S_TypePseudo_Passive:Semantics_scaled:Half_c","S_TypePseudo_Passive:Semantics_scaled",0.0472534,0.0401626,1.17655,0.239374,0.0958429,70,30240,FALSE
"Turkish","session_half","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","Semantics_scaled:Half_c","Semantics_scaled",-0.126325,0.0283296,-4.45912,8.22978e-06,0.139948,70,30240,FALSE
