"language","scheme","structure","term","modifies","estimate","se","z","p_two_sided","estimate_of_modified_term","n_participants","n_rows","singular"
"English","exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Exposure_c","(Intercept)",-0.0236111,0.0305253,-0.773492,0.439231,6.26696,70,30240,TRUE
"English","exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypeActive:Exposure_c","S_TypeActive",0.00992063,0.0223132,0.444608,0.656603,0.398611,70,30240,TRUE
"English","exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypeActive:Semantics_scaled:Exposure_c","S_TypeActive:Semantics_scaled",0.0505129,0.0449396,1.12402,0.261005,-0.328298,70,30240,TRUE
"English","exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypePseudo_Passive:Exposure_c","S_TypePseudo_Passive",-0.24623,0.0223132,-11.0352,2.58564e-28,-0.994742,70,30240,TRUE
"English","exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypePseudo_Passive:Semantics_scaled:Exposure_c","S_TypePseudo_Passive:Semantics_scaled",0.0904188,0.0449396,2.01201,0.0442193,-0.41391,70,30240,TRUE
"English","exposure","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Semantics_scaled:Exposure_c","Semantics_scaled",-0.0329802,0.0317771,-1.03786,0.299336,0.257667,70,30240,TRUE
"English","session_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Half_c","(Intercept)",-0.0323538,0.0424549,-0.762075,0.446015,6.26684,70,30240,FALSE
"English","session_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypeActive:Half_c","S_TypeActive",0.0135042,0.0221032,0.61096,0.541226,0.398412,70,30240,FALSE
"English","session_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypeActive:Semantics_scaled:Half_c","S_TypeActive:Semantics_scaled",0.0451992,0.0446403,1.01252,0.311289,-0.327132,70,30240,FALSE
"English","session_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypePseudo_Passive:Half_c","S_TypePseudo_Passive",-0.337506,0.0221202,-15.2578,1.46083e-52,-0.992935,70,30240,FALSE
"English","session_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","S_TypePseudo_Passive:Semantics_scaled:Half_c","S_TypePseudo_Passive:Semantics_scaled",0.12681,0.044693,2.83734,0.00454905,-0.41852,70,30240,FALSE
"English","session_half","P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]","Semantics_scaled:Half_c","Semantics_scaled",-0.0290878,0.0316367,-0.919432,0.357869,0.259575,70,30240,FALSE
"Norwegian","exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","Exposure_c","(Intercept)",0.062201,0.030578,2.03417,0.041934,6.04678,57,15048,FALSE
"Norwegian","exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","S_TypeActive:Exposure_c","S_TypeActive",-0.0268474,0.0338362,-0.793453,0.427514,0.166002,57,15048,FALSE
"Norwegian","exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","S_TypeActive:Semantics_scaled:Exposure_c","S_TypeActive:Semantics_scaled",0.0315148,0.0681909,0.462155,0.64397,-0.276052,57,15048,FALSE
"Norwegian","exposure","P[zcp:1,Act,Sem] V[corr:1,Act]","Semantics_scaled:Exposure_c","Semantics_scaled",-0.0320495,0.0482183,-0.664675,0.506258,0.172357,57,15048,FALSE
"Norwegian","session_half","P[zcp:1,Act,Sem] V[corr:1,Act]","Half_c","(Intercept)",0.0196124,0.0401043,0.489036,0.624816,6.04638,57,15048,FALSE
"Norwegian","session_half","P[zcp:1,Act,Sem] V[corr:1,Act]","S_TypeActive:Half_c","S_TypeActive",-0.0299042,0.0339399,-0.881094,0.378267,0.165912,57,15048,FALSE
"Norwegian","session_half","P[zcp:1,Act,Sem] V[corr:1,Act]","S_TypeActive:Semantics_scaled:Half_c","S_TypeActive:Semantics_scaled",0.00400229,0.0686015,0.0583411,0.953477,-0.276088,57,15048,FALSE
"Norwegian","session_half","P[zcp:1,Act,Sem] V[corr:1,Act]","Semantics_scaled:Half_c","Semantics_scaled",-0.0251256,0.0484607,-0.518474,0.604128,0.170526,57,15048,FALSE
"Turkish","exposure","P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]","Exposure_c","(Intercept)",-0.0700397,0.0256055,-2.73534,0.00623162,5.89573,70,30240,FALSE
