"language","n_participants","bootstrap_samples","hypothesis","term","sd_participant_full","sd_participant_schemeA","sd_participant_schemeB","r_participant_part_schemeA","r_participant_part_schemeB","verb_floor_var","r_total_schemeA","r_total_schemeB","verb_floor_share_full"
"English",70,2000,"h1a","Semantics_scaled",0.04298,0.0458397,0.0464761,0.937615,0.924776,0.00436499,0.980163,0.97574,0.70264
"English",70,2000,"h1b","S_TypeActive:Semantics_scaled",0.0570302,0.0600307,0.0611015,0.950018,0.933369,0.00269555,0.971721,0.961868,0.453186
"English",70,2000,"h2","S_TypePseudo_Passive:Semantics_scaled",0.0577862,0.0622252,0.0623098,0.928662,0.927402,0.00302712,0.960615,0.959883,0.475487
"English",80,2000,"h1a","Semantics_scaled",0.0403962,0.043269,0.0427249,0.933607,0.945497,0.00436499,0.980543,0.984242,0.727881
"English",80,2000,"h1b","S_TypeActive:Semantics_scaled",0.0524299,0.0559756,0.0545431,0.936656,0.961256,0.00269555,0.966466,0.979865,0.495101
"English",80,2000,"h2","S_TypePseudo_Passive:Semantics_scaled",0.0536677,0.0578611,0.0573002,0.927527,0.936607,0.00302712,0.962621,0.967535,0.512433
"Turkish",70,2000,"h1a","Semantics_scaled",0.0248903,0.0293261,0.0288766,0.848744,0.861954,0.00307539,0.968964,0.9722,0.832329
"Turkish",70,2000,"h1b","S_TypeActive:Semantics_scaled",0.0222712,0.0282672,0.0284988,0.787881,0.781477,0.000740665,0.896208,0.892406,0.598918
"Turkish",70,2000,"h2","S_TypePseudo_Passive:Semantics_scaled",0.0320102,0.0390867,0.0382199,0.818954,0.837528,0.000975093,0.893859,0.906071,0.487608
"Turkish",80,2000,"h1a","Semantics_scaled",0.0228881,0.0270319,0.0273666,0.846708,0.836351,0.00307539,0.972446,0.970128,0.854451
"Turkish",80,2000,"h1b","S_TypeActive:Semantics_scaled",0.0209398,0.0268142,0.0274662,0.780924,0.762385,0.000740665,0.898786,0.888084,0.628139
"Turkish",80,2000,"h2","S_TypePseudo_Passive:Semantics_scaled",0.0298832,0.0357123,0.035432,0.836775,0.843396,0.000975093,0.911096,0.91516,0.521971
"Norwegian",57,2000,"h1a","Semantics_scaled",0.0493029,0.0521814,0.0527377,0.944837,0.934869,0.00827498,0.98663,0.984022,0.772947
"Norwegian",57,2000,"h1b","S_TypeActive:Semantics_scaled",0.0439495,0.0501806,0.050793,0.875828,0.865268,0.00229342,0.937069,0.931105,0.542824
"Norwegian",80,2000,"h1a","Semantics_scaled",0.0418503,0.0447402,0.0448122,0.935406,0.933904,0.00827498,0.98775,0.98744,0.825317
"Norwegian",80,2000,"h1b","S_TypeActive:Semantics_scaled",0.0371802,0.0422431,0.0426952,0.880149,0.87083,0.00229342,0.949417,0.944979,0.623926
