n_participants,reps,p_h1a,p_h1b,p_joint,p_joint_bf6,p_joint_bf3,median_bf_h1a,median_bf_h1b,n_converged,p_joint_converged,mcse_p_joint
50,20,0.7,0.65,0.45,0.75,0.95,12.606725078313683,13.852606699634553,6,0.5,0.11124297730643495
80,7,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.5714285714285714,1,12.225992943731582,12.480091958913082,0,NA,0.1870439059165649
