language,n_verbs,sxx,affectedness_sd,ndraws,tau_verb_intercept,tau_verb_active,se_floor_h1a,se_floor_h1b,slope_mean,interaction_mean,slope_per_sd,interaction_per_sd,slope_post_sd,sign_prob_joint,ceiling_h1a_bf10,ceiling_h1b_bf10,ceiling_joint_bf10,ceiling_joint_bf6,ceiling_joint_bf3,verbs_for_80,verbs_for_90
English,72,17.999404761904763,0.5035004896972983,8000,0.82505421562125,0.8766455232825,0.19447035904641943,0.20663074794523006,0.5239491331810913,-0.881574798782625,0.26380864513315444,-0.44387334289184893,0.19368792802023205,0.995875,0.8330473793845621,0.9712880727537825,0.8120200169037658,0.8609571648512983,0.915332890471457,72,124
Turkish,72,17.99940476190476,0.5035004896972982,8000,0.63693571450125,0.63713168475125,0.1501296699578436,0.1501758613524918,0.36225094738033514,-0.28848588730895586,0.18239352939930895,-0.14525278553081886,0.1555541537197864,0.94,0.7736663451188345,0.6493587277514803,0.4922536508266936,0.5791113997804439,0.6965519821308954,348,NA
Norwegian,66,16.498903508771928,0.5038147325657889,8000,0.6631604289775,0.3415614444475,0.1632642367947207,0.084089409001989,0.46617540277536,-0.531483621048625,0.23486603587801694,-0.2677692784017101,0.17812264296744015,0.995125,0.848077776248967,0.997000475363916,0.8462542037969024,0.8851302850481254,0.928573897978239,66,98
